pix_id,XY,musc_id,grp_id,cond_id,subj_id,injury_id,X,Y,Value
6014820,14820,RF,Quadriceps,Post,17,NO,228,65,799.181
6014885,14885,RF,Quadriceps,Post,17,NO,229,65,879.564
6014950,14950,RF,Quadriceps,Post,17,NO,230,65,965.718
6015015,15015,RF,Quadriceps,Post,17,NO,231,65,1050.698
6015080,15080,RF,Quadriceps,Post,17,NO,232,65,1131.148
6015145,15145,RF,Quadriceps,Post,17,NO,233,65,1205.198
6015210,15210,RF,Quadriceps,Post,17,NO,234,65,1271.143
6015275,15275,RF,Quadriceps,Post,17,NO,235,65,1328.166
6015340,15340,RF,Quadriceps,Post,17,NO,236,65,1380.906
6015405,15405,RF,Quadriceps,Post,17,NO,237,65,1429.094
6015470,15470,RF,Quadriceps,Post,17,NO,238,65,1471.384
6015535,15535,RF,Quadriceps,Post,17,NO,239,65,1499.443
6015600,15600,RF,Quadriceps,Post,17,NO,240,65,1505.919
6015665,15665,RF,Quadriceps,Post,17,NO,241,65,1497.896
6015730,15730,RF,Quadriceps,Post,17,NO,242,65,1452.074
6015795,15795,RF,Quadriceps,Post,17,NO,243,65,1381.459
6015860,15860,RF,Quadriceps,Post,17,NO,244,65,1299.57
6014388,14388,RF,Quadriceps,Post,17,NO,218,66,909.27
6014454,14454,RF,Quadriceps,Post,17,NO,219,66,862.095
6014520,14520,RF,Quadriceps,Post,17,NO,220,66,808.25
6014586,14586,RF,Quadriceps,Post,17,NO,221,66,749.989
6014652,14652,RF,Quadriceps,Post,17,NO,222,66,692.671
6014718,14718,RF,Quadriceps,Post,17,NO,223,66,642.667
6014784,14784,RF,Quadriceps,Post,17,NO,224,66,607.592
6014850,14850,RF,Quadriceps,Post,17,NO,225,66,596.609
6014916,14916,RF,Quadriceps,Post,17,NO,226,66,615.662
6014982,14982,RF,Quadriceps,Post,17,NO,227,66,659.472
6015048,15048,RF,Quadriceps,Post,17,NO,228,66,728.763
6015114,15114,RF,Quadriceps,Post,17,NO,229,66,804.018
6015180,15180,RF,Quadriceps,Post,17,NO,230,66,883.169
6015246,15246,RF,Quadriceps,Post,17,NO,231,66,960.814
6015312,15312,RF,Quadriceps,Post,17,NO,232,66,1035.435
6015378,15378,RF,Quadriceps,Post,17,NO,233,66,1106.188
6015444,15444,RF,Quadriceps,Post,17,NO,234,66,1172.393
6015510,15510,RF,Quadriceps,Post,17,NO,235,66,1235.669
6015576,15576,RF,Quadriceps,Post,17,NO,236,66,1296.752
6015642,15642,RF,Quadriceps,Post,17,NO,237,66,1353.659
