pix_id,XY,musc_id,grp_id,cond_id,subj_id,injury_id,X,Y,Value
3068440,68440,BLH,Hamstrings,Post,19,NO,236,290,1182.082
3068730,68730,BLH,Hamstrings,Post,19,NO,237,290,1178.016
3069020,69020,BLH,Hamstrings,Post,19,NO,238,290,1155.495
3069310,69310,BLH,Hamstrings,Post,19,NO,239,290,1109.36
3067221,67221,BLH,Hamstrings,Post,19,NO,231,291,1282.956
3067512,67512,BLH,Hamstrings,Post,19,NO,232,291,1225.996
3067803,67803,BLH,Hamstrings,Post,19,NO,233,291,1171.372
3068094,68094,BLH,Hamstrings,Post,19,NO,234,291,1129.688
3068385,68385,BLH,Hamstrings,Post,19,NO,235,291,1079.143
3068676,68676,BLH,Hamstrings,Post,19,NO,236,291,1077.844
3068967,68967,BLH,Hamstrings,Post,19,NO,237,291,1077.609
3069258,69258,BLH,Hamstrings,Post,19,NO,238,291,1074.959
3069549,69549,BLH,Hamstrings,Post,19,NO,239,291,1057.058
3069840,69840,BLH,Hamstrings,Post,19,NO,240,291,1025.669
3070131,70131,BLH,Hamstrings,Post,19,NO,241,291,968.803
3070422,70422,BLH,Hamstrings,Post,19,NO,242,291,900.313
3066284,66284,BLH,Hamstrings,Post,19,NO,227,292,1426.849
3066576,66576,BLH,Hamstrings,Post,19,NO,228,292,1378.434
3066868,66868,BLH,Hamstrings,Post,19,NO,229,292,1326.735
3067160,67160,BLH,Hamstrings,Post,19,NO,230,292,1275.825
3067452,67452,BLH,Hamstrings,Post,19,NO,231,292,1223.851
3067744,67744,BLH,Hamstrings,Post,19,NO,232,292,1178.524
3068036,68036,BLH,Hamstrings,Post,19,NO,233,292,1130.805
3068328,68328,BLH,Hamstrings,Post,19,NO,234,292,1083.907
3068620,68620,BLH,Hamstrings,Post,19,NO,235,292,1030.005
3068912,68912,BLH,Hamstrings,Post,19,NO,236,292,1011.374
3069204,69204,BLH,Hamstrings,Post,19,NO,237,292,1001.257
3069496,69496,BLH,Hamstrings,Post,19,NO,238,292,999.494
3069788,69788,BLH,Hamstrings,Post,19,NO,239,292,994.674
3070080,70080,BLH,Hamstrings,Post,19,NO,240,292,987.981
3070372,70372,BLH,Hamstrings,Post,19,NO,241,292,963.026
3070664,70664,BLH,Hamstrings,Post,19,NO,242,292,923.799
3070956,70956,BLH,Hamstrings,Post,19,NO,243,292,869.758
3071248,71248,BLH,Hamstrings,Post,19,NO,244,292,807.454
3065632,65632,BLH,Hamstrings,Post,19,NO,224,293,1491.708
3065925,65925,BLH,Hamstrings,Post,19,NO,225,293,1454.096
3066218,66218,BLH,Hamstrings,Post,19,NO,226,293,1410.785
3066511,66511,BLH,Hamstrings,Post,19,NO,227,293,1366.619
3066804,66804,BLH,Hamstrings,Post,19,NO,228,293,1320.946
3067097,67097,BLH,Hamstrings,Post,19,NO,229,293,1276.86
3067390,67390,BLH,Hamstrings,Post,19,NO,230,293,1233.529
3067683,67683,BLH,Hamstrings,Post,19,NO,231,293,1192.816
3067976,67976,BLH,Hamstrings,Post,19,NO,232,293,1151.359
3068269,68269,BLH,Hamstrings,Post,19,NO,233,293,1111.055
3068562,68562,BLH,Hamstrings,Post,19,NO,234,293,1066.657
3068855,68855,BLH,Hamstrings,Post,19,NO,235,293,1024.231
3069148,69148,BLH,Hamstrings,Post,19,NO,236,293,986.784
3069441,69441,BLH,Hamstrings,Post,19,NO,237,293,960.553
3069734,69734,BLH,Hamstrings,Post,19,NO,238,293,946.747
