pix_id,XY,musc_id,grp_id,cond_id,subj_id,injury_id,X,Y,Value
8086458,86458,SMB,Hamstrings,Post,19,NO,311,278,1038.421
8086736,86736,SMB,Hamstrings,Post,19,NO,312,278,1087.398
8087014,87014,SMB,Hamstrings,Post,19,NO,313,278,1147.573
8087292,87292,SMB,Hamstrings,Post,19,NO,314,278,1218.491
8087570,87570,SMB,Hamstrings,Post,19,NO,315,278,1249.157
8087848,87848,SMB,Hamstrings,Post,19,NO,316,278,1278.276
8088126,88126,SMB,Hamstrings,Post,19,NO,317,278,1303.701
8088404,88404,SMB,Hamstrings,Post,19,NO,318,278,1323.476
8088682,88682,SMB,Hamstrings,Post,19,NO,319,278,1341.323
8088960,88960,SMB,Hamstrings,Post,19,NO,320,278,1348.926
8089238,89238,SMB,Hamstrings,Post,19,NO,321,278,1354.912
8089516,89516,SMB,Hamstrings,Post,19,NO,322,278,1353.313
8089794,89794,SMB,Hamstrings,Post,19,NO,323,278,1347.59
8090072,90072,SMB,Hamstrings,Post,19,NO,324,278,1337.764
8090350,90350,SMB,Hamstrings,Post,19,NO,325,278,1324.537
8090628,90628,SMB,Hamstrings,Post,19,NO,326,278,1311.137
8090906,90906,SMB,Hamstrings,Post,19,NO,327,278,1294.264
8091184,91184,SMB,Hamstrings,Post,19,NO,328,278,1277.603
8091462,91462,SMB,Hamstrings,Post,19,NO,329,278,1258.836
8091740,91740,SMB,Hamstrings,Post,19,NO,330,278,1239.66
8092018,92018,SMB,Hamstrings,Post,19,NO,331,278,1223.881
8092296,92296,SMB,Hamstrings,Post,19,NO,332,278,1193.46
8092574,92574,SMB,Hamstrings,Post,19,NO,333,278,1162.761
8092852,92852,SMB,Hamstrings,Post,19,NO,334,278,1133.221
8085932,85932,SMB,Hamstrings,Post,19,NO,308,279,982.732
8086211,86211,SMB,Hamstrings,Post,19,NO,309,279,1003.001
8086490,86490,SMB,Hamstrings,Post,19,NO,310,279,1035.854
8086769,86769,SMB,Hamstrings,Post,19,NO,311,279,1082.813
8087048,87048,SMB,Hamstrings,Post,19,NO,312,279,1138.263
8087327,87327,SMB,Hamstrings,Post,19,NO,313,279,1203.88
8087606,87606,SMB,Hamstrings,Post,19,NO,314,279,1237.95
8087885,87885,SMB,Hamstrings,Post,19,NO,315,279,1271.993
8088164,88164,SMB,Hamstrings,Post,19,NO,316,279,1303.538
8088443,88443,SMB,Hamstrings,Post,19,NO,317,279,1330.052
8088722,88722,SMB,Hamstrings,Post,19,NO,318,279,1352.981
8089001,89001,SMB,Hamstrings,Post,19,NO,319,279,1376.27
8089280,89280,SMB,Hamstrings,Post,19,NO,320,279,1394.443
8089559,89559,SMB,Hamstrings,Post,19,NO,321,279,1412.842
8089838,89838,SMB,Hamstrings,Post,19,NO,322,279,1426.768
8090117,90117,SMB,Hamstrings,Post,19,NO,323,279,1439.518
8090396,90396,SMB,Hamstrings,Post,19,NO,324,279,1448.655
8090675,90675,SMB,Hamstrings,Post,19,NO,325,279,1454.909
8090954,90954,SMB,Hamstrings,Post,19,NO,326,279,1458.321
8091233,91233,SMB,Hamstrings,Post,19,NO,327,279,1454.364
8091512,91512,SMB,Hamstrings,Post,19,NO,328,279,1445.043
8091791,91791,SMB,Hamstrings,Post,19,NO,329,279,1431.809
8092070,92070,SMB,Hamstrings,Post,19,NO,330,279,1418.349
8092349,92349,SMB,Hamstrings,Post,19,NO,331,279,1401.245
8092628,92628,SMB,Hamstrings,Post,19,NO,332,279,1385.404
8092907,92907,SMB,Hamstrings,Post,19,NO,333,279,1358.944
8093186,93186,SMB,Hamstrings,Post,19,NO,334,279,1331.187
8093465,93465,SMB,Hamstrings,Post,19,NO,335,279,1295.513
8093744,93744,SMB,Hamstrings,Post,19,NO,336,279,1285.784
8094023,94023,SMB,Hamstrings,Post,19,NO,337,279,1239.803
8094302,94302,SMB,Hamstrings,Post,19,NO,338,279,1198.593
8094581,94581,SMB,Hamstrings,Post,19,NO,339,279,1172.486
8094860,94860,SMB,Hamstrings,Post,19,NO,340,279,1162.918
8095139,95139,SMB,Hamstrings,Post,19,NO,341,279,1168.87
8085400,85400,SMB,Hamstrings,Post,19,NO,305,280,978.128
8085680,85680,SMB,Hamstrings,Post,19,NO,306,280,975.389
8085960,85960,SMB,Hamstrings,Post,19,NO,307,280,978.935
8086240,86240,SMB,Hamstrings,Post,19,NO,308,280,992.551
8086520,86520,SMB,Hamstrings,Post,19,NO,309,280,1019.447
8086800,86800,SMB,Hamstrings,Post,19,NO,310,280,1055.573
8087080,87080,SMB,Hamstrings,Post,19,NO,311,280,1094.695
8087360,87360,SMB,Hamstrings,Post,19,NO,312,280,1123.22
8087640,87640,SMB,Hamstrings,Post,19,NO,313,280,1087.785
8087920,87920,SMB,Hamstrings,Post,19,NO,314,280,1109.907
8088200,88200,SMB,Hamstrings,Post,19,NO,315,280,1131.627
8088480,88480,SMB,Hamstrings,Post,19,NO,316,280,1154.769
8088760,88760,SMB,Hamstrings,Post,19,NO,317,280,1177.905
8089040,89040,SMB,Hamstrings,Post,19,NO,318,280,1203.028
