pix_id,XY,musc_id,grp_id,cond_id,subj_id,injury_id,X,Y,Value
12026013,26013,VM,Quadriceps,Post,2,O,299,87,1653.687
12026100,26100,VM,Quadriceps,Post,2,O,300,87,1669.764
12026187,26187,VM,Quadriceps,Post,2,O,301,87,1647.77
12026048,26048,VM,Quadriceps,Post,2,O,296,88,1269.064
12026136,26136,VM,Quadriceps,Post,2,O,297,88,1380.854
12026224,26224,VM,Quadriceps,Post,2,O,298,88,1486.82
12026312,26312,VM,Quadriceps,Post,2,O,299,88,1577.682
12026400,26400,VM,Quadriceps,Post,2,O,300,88,1648.202
12026488,26488,VM,Quadriceps,Post,2,O,301,88,1681.759
12026576,26576,VM,Quadriceps,Post,2,O,302,88,1678.237
12026664,26664,VM,Quadriceps,Post,2,O,303,88,1649.125
12026752,26752,VM,Quadriceps,Post,2,O,304,88,1595.235
12026166,26166,VM,Quadriceps,Post,2,O,294,89,1062.786
12026255,26255,VM,Quadriceps,Post,2,O,295,89,1107.742
12026344,26344,VM,Quadriceps,Post,2,O,296,89,1176.376
12026433,26433,VM,Quadriceps,Post,2,O,297,89,1265.834
12026522,26522,VM,Quadriceps,Post,2,O,298,89,1361.446
12026611,26611,VM,Quadriceps,Post,2,O,299,89,1451.196
12026700,26700,VM,Quadriceps,Post,2,O,300,89,1533.335
12026789,26789,VM,Quadriceps,Post,2,O,301,89,1608.868
12026878,26878,VM,Quadriceps,Post,2,O,302,89,1675.573
12026967,26967,VM,Quadriceps,Post,2,O,303,89,1717.164
12027056,27056,VM,Quadriceps,Post,2,O,304,89,1766.145
12027145,27145,VM,Quadriceps,Post,2,O,305,89,1697.624
12027234,27234,VM,Quadriceps,Post,2,O,306,89,1573.815
12027323,27323,VM,Quadriceps,Post,2,O,307,89,1443.028
12026370,26370,VM,Quadriceps,Post,2,O,293,90,1069.884
12026460,26460,VM,Quadriceps,Post,2,O,294,90,1057.49
12026550,26550,VM,Quadriceps,Post,2,O,295,90,1075.335
12026640,26640,VM,Quadriceps,Post,2,O,296,90,1113.713
12026730,26730,VM,Quadriceps,Post,2,O,297,90,1173.982
12026820,26820,VM,Quadriceps,Post,2,O,298,90,1248.738
12026910,26910,VM,Quadriceps,Post,2,O,299,90,1325.567
12027000,27000,VM,Quadriceps,Post,2,O,300,90,1404.721
12027090,27090,VM,Quadriceps,Post,2,O,301,90,1488.188
12027180,27180,VM,Quadriceps,Post,2,O,302,90,1579.299
12027270,27270,VM,Quadriceps,Post,2,O,303,90,1676.047
12027360,27360,VM,Quadriceps,Post,2,O,304,90,1787.964
12027450,27450,VM,Quadriceps,Post,2,O,305,90,1808.317
12027540,27540,VM,Quadriceps,Post,2,O,306,90,1827.089
12027630,27630,VM,Quadriceps,Post,2,O,307,90,1626.486
12027720,27720,VM,Quadriceps,Post,2,O,308,90,1493.187
12027810,27810,VM,Quadriceps,Post,2,O,309,90,1363.293
12026663,26663,VM,Quadriceps,Post,2,O,293,91,1104.149
12026754,26754,VM,Quadriceps,Post,2,O,294,91,1072.168
12026845,26845,VM,Quadriceps,Post,2,O,295,91,1065.514
12026936,26936,VM,Quadriceps,Post,2,O,296,91,1078.393
12027027,27027,VM,Quadriceps,Post,2,O,297,91,1110.424
12027118,27118,VM,Quadriceps,Post,2,O,298,91,1159.655
12027209,27209,VM,Quadriceps,Post,2,O,299,91,1215.073
12027300,27300,VM,Quadriceps,Post,2,O,300,91,1277.154
12027391,27391,VM,Quadriceps,Post,2,O,301,91,1348.822
12027482,27482,VM,Quadriceps,Post,2,O,302,91,1444.419
12027573,27573,VM,Quadriceps,Post,2,O,303,91,1560.897
12027664,27664,VM,Quadriceps,Post,2,O,304,91,1711.87
12027755,27755,VM,Quadriceps,Post,2,O,305,91,1816.579
12027846,27846,VM,Quadriceps,Post,2,O,306,91,1830.832
12027937,27937,VM,Quadriceps,Post,2,O,307,91,1786.99
12028028,28028,VM,Quadriceps,Post,2,O,308,91,1681.394
12028119,28119,VM,Quadriceps,Post,2,O,309,91,1543.047
12028210,28210,VM,Quadriceps,Post,2,O,310,91,1409.288
12028301,28301,VM,Quadriceps,Post,2,O,311,91,1291.807
12026956,26956,VM,Quadriceps,Post,2,O,293,92,1125.419
12027048,27048,VM,Quadriceps,Post,2,O,294,92,1086.537
12027140,27140,VM,Quadriceps,Post,2,O,295,92,1062.204
12027232,27232,VM,Quadriceps,Post,2,O,296,92,1057.358
12027324,27324,VM,Quadriceps,Post,2,O,297,92,1067.237
12027416,27416,VM,Quadriceps,Post,2,O,298,92,1093.975
12027508,27508,VM,Quadriceps,Post,2,O,299,92,1128.506
12027600,27600,VM,Quadriceps,Post,2,O,300,92,1169.818
12027692,27692,VM,Quadriceps,Post,2,O,301,92,1224.364
12027784,27784,VM,Quadriceps,Post,2,O,302,92,1304.268
12027876,27876,VM,Quadriceps,Post,2,O,303,92,1411.765
12027968,27968,VM,Quadriceps,Post,2,O,304,92,1549.957
12028060,28060,VM,Quadriceps,Post,2,O,305,92,1716.256
12028152,28152,VM,Quadriceps,Post,2,O,306,92,1818.292
12028244,28244,VM,Quadriceps,Post,2,O,307,92,1870.478
12028336,28336,VM,Quadriceps,Post,2,O,308,92,1838.527
12028428,28428,VM,Quadriceps,Post,2,O,309,92,1724.155
12028520,28520,VM,Quadriceps,Post,2,O,310,92,1589.635
12028612,28612,VM,Quadriceps,Post,2,O,311,92,1452.748
12028704,28704,VM,Quadriceps,Post,2,O,312,92,1332.896
12028796,28796,VM,Quadriceps,Post,2,O,313,92,1233.121
12027156,27156,VM,Quadriceps,Post,2,O,292,93,1173.211
12027249,27249,VM,Quadriceps,Post,2,O,293,93,1128.225
12027342,27342,VM,Quadriceps,Post,2,O,294,93,1088.969
12027435,27435,VM,Quadriceps,Post,2,O,295,93,1055.898
12027528,27528,VM,Quadriceps,Post,2,O,296,93,1040.814
12027621,27621,VM,Quadriceps,Post,2,O,297,93,1035.879
12027714,27714,VM,Quadriceps,Post,2,O,298,93,1046.613
12027807,27807,VM,Quadriceps,Post,2,O,299,93,1065.656
