pix_id,XY,musc_id,grp_id,cond_id,subj_id,injury_id,X,Y,Value
2076680,76680,AM,Adductors,Post,5,O,360,213,1617.315
2076893,76893,AM,Adductors,Post,5,O,361,213,1552.397
2077106,77106,AM,Adductors,Post,5,O,362,213,1495.242
2077319,77319,AM,Adductors,Post,5,O,363,213,1456.025
2077532,77532,AM,Adductors,Post,5,O,364,213,1437.366
2077745,77745,AM,Adductors,Post,5,O,365,213,1446.365
2077958,77958,AM,Adductors,Post,5,O,366,213,1502.67
2078171,78171,AM,Adductors,Post,5,O,367,213,1580.394
2078384,78384,AM,Adductors,Post,5,O,368,213,1664.831
2076826,76826,AM,Adductors,Post,5,O,359,214,1791.533
2077040,77040,AM,Adductors,Post,5,O,360,214,1585.084
2077254,77254,AM,Adductors,Post,5,O,361,214,1530.449
2077468,77468,AM,Adductors,Post,5,O,362,214,1482.053
2077682,77682,AM,Adductors,Post,5,O,363,214,1452.714
2077896,77896,AM,Adductors,Post,5,O,364,214,1444.644
2078110,78110,AM,Adductors,Post,5,O,365,214,1458.07
2078324,78324,AM,Adductors,Post,5,O,366,214,1501.711
2078538,78538,AM,Adductors,Post,5,O,367,214,1569.636
2078752,78752,AM,Adductors,Post,5,O,368,214,1644.15
2078966,78966,AM,Adductors,Post,5,O,369,214,1717.399
2079180,79180,AM,Adductors,Post,5,O,370,214,1773.831
2079394,79394,AM,Adductors,Post,5,O,371,214,1794.99
2076755,76755,AM,Adductors,Post,5,O,357,215,2053.702
2076970,76970,AM,Adductors,Post,5,O,358,215,1926.7
2077185,77185,AM,Adductors,Post,5,O,359,215,1589.179
2077400,77400,AM,Adductors,Post,5,O,360,215,1537.817
2077615,77615,AM,Adductors,Post,5,O,361,215,1499.583
2077830,77830,AM,Adductors,Post,5,O,362,215,1468.728
2078045,78045,AM,Adductors,Post,5,O,363,215,1446.172
2078260,78260,AM,Adductors,Post,5,O,364,215,1444.09
2078475,78475,AM,Adductors,Post,5,O,365,215,1457.527
2078690,78690,AM,Adductors,Post,5,O,366,215,1486.003
2078905,78905,AM,Adductors,Post,5,O,367,215,1534.433
2079120,79120,AM,Adductors,Post,5,O,368,215,1589.646
2079335,79335,AM,Adductors,Post,5,O,369,215,1646.356
2079550,79550,AM,Adductors,Post,5,O,370,215,1696.666
2079765,79765,AM,Adductors,Post,5,O,371,215,1709.953
2076680,76680,AM,Adductors,Post,5,O,355,216,2114.544
2076896,76896,AM,Adductors,Post,5,O,356,216,2219.53
2077112,77112,AM,Adductors,Post,5,O,357,216,2084.284
2077328,77328,AM,Adductors,Post,5,O,358,216,1801.663
2077544,77544,AM,Adductors,Post,5,O,359,216,1511.526
2077760,77760,AM,Adductors,Post,5,O,360,216,1481.69
2077976,77976,AM,Adductors,Post,5,O,361,216,1457.941
2078192,78192,AM,Adductors,Post,5,O,362,216,1442.899
2078408,78408,AM,Adductors,Post,5,O,363,216,1431.707
2078624,78624,AM,Adductors,Post,5,O,364,216,1428.998
2078840,78840,AM,Adductors,Post,5,O,365,216,1433.006
2079056,79056,AM,Adductors,Post,5,O,366,216,1446.89
2079272,79272,AM,Adductors,Post,5,O,367,216,1473.801
2079488,79488,AM,Adductors,Post,5,O,368,216,1505.202
2079704,79704,AM,Adductors,Post,5,O,369,216,1537.638
2079920,79920,AM,Adductors,Post,5,O,370,216,1564.83
2080136,80136,AM,Adductors,Post,5,O,371,216,1578.326
2076601,76601,AM,Adductors,Post,5,O,353,217,1849.115
2076818,76818,AM,Adductors,Post,5,O,354,217,2145.171
2077035,77035,AM,Adductors,Post,5,O,355,217,2321.374
2077252,77252,AM,Adductors,Post,5,O,356,217,2244.619
2077469,77469,AM,Adductors,Post,5,O,357,217,1903.212
2077686,77686,AM,Adductors,Post,5,O,358,217,1430.449
2077903,77903,AM,Adductors,Post,5,O,359,217,1411.365
2078120,78120,AM,Adductors,Post,5,O,360,217,1411.531
2078337,78337,AM,Adductors,Post,5,O,361,217,1403.853
2078554,78554,AM,Adductors,Post,5,O,362,217,1397.507
2078771,78771,AM,Adductors,Post,5,O,363,217,1391.689
2078988,78988,AM,Adductors,Post,5,O,364,217,1384.222
2079205,79205,AM,Adductors,Post,5,O,365,217,1379.526
2079422,79422,AM,Adductors,Post,5,O,366,217,1381.381
2079639,79639,AM,Adductors,Post,5,O,367,217,1389.973
2079856,79856,AM,Adductors,Post,5,O,368,217,1400.535
2080073,80073,AM,Adductors,Post,5,O,369,217,1410.489
2080290,80290,AM,Adductors,Post,5,O,370,217,1422.096
2080507,80507,AM,Adductors,Post,5,O,371,217,1429.247
2076518,76518,AM,Adductors,Post,5,O,351,218,1640.663
2076736,76736,AM,Adductors,Post,5,O,352,218,1779.583
2076954,76954,AM,Adductors,Post,5,O,353,218,2103.225
2077172,77172,AM,Adductors,Post,5,O,354,218,2345.589
2077390,77390,AM,Adductors,Post,5,O,355,218,2327.982
2077608,77608,AM,Adductors,Post,5,O,356,218,1992.049
2077826,77826,AM,Adductors,Post,5,O,357,218,1651.219
2078044,78044,AM,Adductors,Post,5,O,358,218,1436.892
2078262,78262,AM,Adductors,Post,5,O,359,218,1332.32
2078480,78480,AM,Adductors,Post,5,O,360,218,1335.467
2078698,78698,AM,Adductors,Post,5,O,361,218,1334.04
2078916,78916,AM,Adductors,Post,5,O,362,218,1329.632
2079134,79134,AM,Adductors,Post,5,O,363,218,1318.311
2079352,79352,AM,Adductors,Post,5,O,364,218,1307.772
2079570,79570,AM,Adductors,Post,5,O,365,218,1299.475
2079788,79788,AM,Adductors,Post,5,O,366,218,1294.795
2080006,80006,AM,Adductors,Post,5,O,367,218,1292.063
2080224,80224,AM,Adductors,Post,5,O,368,218,1289.836
2080442,80442,AM,Adductors,Post,5,O,369,218,1289.817
2080660,80660,AM,Adductors,Post,5,O,370,218,1290.841
2080878,80878,AM,Adductors,Post,5,O,371,218,1289.991
2076431,76431,AM,Adductors,Post,5,O,349,219,1472.502
2076650,76650,AM,Adductors,Post,5,O,350,219,1610.929
2076869,76869,AM,Adductors,Post,5,O,351,219,1707.859
2077088,77088,AM,Adductors,Post,5,O,352,219,2015.799
2077307,77307,AM,Adductors,Post,5,O,353,219,2294.858
2077526,77526,AM,Adductors,Post,5,O,354,219,2381.178
2077745,77745,AM,Adductors,Post,5,O,355,219,2180.773
2077964,77964,AM,Adductors,Post,5,O,356,219,1829.938
2078183,78183,AM,Adductors,Post,5,O,357,219,1503.303
2078402,78402,AM,Adductors,Post,5,O,358,219,1330.375
2078621,78621,AM,Adductors,Post,5,O,359,219,1246.106
2078840,78840,AM,Adductors,Post,5,O,360,219,1254.521
2079059,79059,AM,Adductors,Post,5,O,361,219,1257.356
2079278,79278,AM,Adductors,Post,5,O,362,219,1251.593
2079497,79497,AM,Adductors,Post,5,O,363,219,1237.535
2079716,79716,AM,Adductors,Post,5,O,364,219,1223.724
2079935,79935,AM,Adductors,Post,5,O,365,219,1210.139
2080154,80154,AM,Adductors,Post,5,O,366,219,1200.993
2080373,80373,AM,Adductors,Post,5,O,367,219,1192.558
2080592,80592,AM,Adductors,Post,5,O,368,219,1190.339
2080811,80811,AM,Adductors,Post,5,O,369,219,1189.56
2081030,81030,AM,Adductors,Post,5,O,370,219,1186.879
2081249,81249,AM,Adductors,Post,5,O,371,219,1181.204
2076340,76340,AM,Adductors,Post,5,O,347,220,1353.744
2076560,76560,AM,Adductors,Post,5,O,348,220,1442.272
2076780,76780,AM,Adductors,Post,5,O,349,220,1583.846
2077000,77000,AM,Adductors,Post,5,O,350,220,1736.144
2077220,77220,AM,Adductors,Post,5,O,351,220,1797.905
2077440,77440,AM,Adductors,Post,5,O,352,220,2091.323
2077660,77660,AM,Adductors,Post,5,O,353,220,2300.799
2077880,77880,AM,Adductors,Post,5,O,354,220,2283.213
2078100,78100,AM,Adductors,Post,5,O,355,220,2005.245
2078320,78320,AM,Adductors,Post,5,O,356,220,1646.974
2078540,78540,AM,Adductors,Post,5,O,357,220,1363.29
2078760,78760,AM,Adductors,Post,5,O,358,220,1224.777
2078980,78980,AM,Adductors,Post,5,O,359,220,1171.448
2079200,79200,AM,Adductors,Post,5,O,360,220,1177.487
2079420,79420,AM,Adductors,Post,5,O,361,220,1178.439
2079640,79640,AM,Adductors,Post,5,O,362,220,1170.501
2079860,79860,AM,Adductors,Post,5,O,363,220,1156.519
2080080,80080,AM,Adductors,Post,5,O,364,220,1141.513
2080300,80300,AM,Adductors,Post,5,O,365,220,1126.817
2080520,80520,AM,Adductors,Post,5,O,366,220,1120.272
2080740,80740,AM,Adductors,Post,5,O,367,220,1119.401
2080960,80960,AM,Adductors,Post,5,O,368,220,1120.156
2081180,81180,AM,Adductors,Post,5,O,369,220,1122.196
2081400,81400,AM,Adductors,Post,5,O,370,220,1120.174
2081620,81620,AM,Adductors,Post,5,O,371,220,1114.402
