pix_id,XY,musc_id,grp_id,cond_id,subj_id,injury_id,X,Y,Value
9081675,81675,STD,Hamstrings,Post,5,O,275,297,1473.621
9081972,81972,STD,Hamstrings,Post,5,O,276,297,1470.06
9082269,82269,STD,Hamstrings,Post,5,O,277,297,1448.285
9082566,82566,STD,Hamstrings,Post,5,O,278,297,1424.356
9082863,82863,STD,Hamstrings,Post,5,O,279,297,1398.334
9081056,81056,STD,Hamstrings,Post,5,O,272,298,1530.735
9081354,81354,STD,Hamstrings,Post,5,O,273,298,1552.906
9081652,81652,STD,Hamstrings,Post,5,O,274,298,1564.671
9081950,81950,STD,Hamstrings,Post,5,O,275,298,1567.937
9082248,82248,STD,Hamstrings,Post,5,O,276,298,1565.986
9082546,82546,STD,Hamstrings,Post,5,O,277,298,1553.676
9082844,82844,STD,Hamstrings,Post,5,O,278,298,1533.964
9083142,83142,STD,Hamstrings,Post,5,O,279,298,1510.703
9083440,83440,STD,Hamstrings,Post,5,O,280,298,1482.215
9083738,83738,STD,Hamstrings,Post,5,O,281,298,1449.677
9084036,84036,STD,Hamstrings,Post,5,O,282,298,1438.26
9084334,84334,STD,Hamstrings,Post,5,O,283,298,1366.842
9084632,84632,STD,Hamstrings,Post,5,O,284,298,1335.622
9080132,80132,STD,Hamstrings,Post,5,O,268,299,1459.844
9080431,80431,STD,Hamstrings,Post,5,O,269,299,1453.336
9080730,80730,STD,Hamstrings,Post,5,O,270,299,1470.637
9081029,81029,STD,Hamstrings,Post,5,O,271,299,1514.174
9081328,81328,STD,Hamstrings,Post,5,O,272,299,1552.143
9081627,81627,STD,Hamstrings,Post,5,O,273,299,1572.237
9081926,81926,STD,Hamstrings,Post,5,O,274,299,1582.37
9082225,82225,STD,Hamstrings,Post,5,O,275,299,1584.355
9082524,82524,STD,Hamstrings,Post,5,O,276,299,1582.566
9082823,82823,STD,Hamstrings,Post,5,O,277,299,1580.945
9083122,83122,STD,Hamstrings,Post,5,O,278,299,1569.201
9083421,83421,STD,Hamstrings,Post,5,O,279,299,1554.716
9083720,83720,STD,Hamstrings,Post,5,O,280,299,1534.879
9084019,84019,STD,Hamstrings,Post,5,O,281,299,1509.987
9084318,84318,STD,Hamstrings,Post,5,O,282,299,1502.122
9084617,84617,STD,Hamstrings,Post,5,O,283,299,1445.529
