pix_id,XY,musc_id,grp_id,cond_id,subj_id,injury_id,X,Y,Value
7045666,45666,S,Adductors,Post,8,O,354,129,983.222
7045795,45795,S,Adductors,Post,8,O,355,129,1028.779
7045630,45630,S,Adductors,Post,8,O,351,130,1008.787
7045760,45760,S,Adductors,Post,8,O,352,130,977.993
7045890,45890,S,Adductors,Post,8,O,353,130,953.362
7046020,46020,S,Adductors,Post,8,O,354,130,951.07
7046150,46150,S,Adductors,Post,8,O,355,130,986.794
7046280,46280,S,Adductors,Post,8,O,356,130,1068.955
7046410,46410,S,Adductors,Post,8,O,357,130,1188.79
7045719,45719,S,Adductors,Post,8,O,349,131,1006.076
7045850,45850,S,Adductors,Post,8,O,350,131,999.093
7045981,45981,S,Adductors,Post,8,O,351,131,982.962
7046112,46112,S,Adductors,Post,8,O,352,131,956.569
7046243,46243,S,Adductors,Post,8,O,353,131,930.506
7046374,46374,S,Adductors,Post,8,O,354,131,922.546
7046505,46505,S,Adductors,Post,8,O,355,131,950.558
7046636,46636,S,Adductors,Post,8,O,356,131,1024.949
7046767,46767,S,Adductors,Post,8,O,357,131,1141.936
7046898,46898,S,Adductors,Post,8,O,358,131,1282.566
7046068,46068,S,Adductors,Post,8,O,349,132,964.773
7046200,46200,S,Adductors,Post,8,O,350,132,965.316
7046332,46332,S,Adductors,Post,8,O,351,132,956.717
7046464,46464,S,Adductors,Post,8,O,352,132,934.653
7046596,46596,S,Adductors,Post,8,O,353,132,908.377
7046728,46728,S,Adductors,Post,8,O,354,132,895.782
7046860,46860,S,Adductors,Post,8,O,355,132,915.445
7046992,46992,S,Adductors,Post,8,O,356,132,979.511
7047124,47124,S,Adductors,Post,8,O,357,132,1087.948
7047256,47256,S,Adductors,Post,8,O,358,132,1228.805
7047388,47388,S,Adductors,Post,8,O,359,132,1374.625
7047520,47520,S,Adductors,Post,8,O,360,132,1505.882
7046417,46417,S,Adductors,Post,8,O,349,133,928.697
7046550,46550,S,Adductors,Post,8,O,350,133,933.952
7046683,46683,S,Adductors,Post,8,O,351,133,930.948
7046816,46816,S,Adductors,Post,8,O,352,133,912.91
7046949,46949,S,Adductors,Post,8,O,353,133,887.545
7047082,47082,S,Adductors,Post,8,O,354,133,871.934
7047215,47215,S,Adductors,Post,8,O,355,133,884.409
7047348,47348,S,Adductors,Post,8,O,356,133,937.148
7047481,47481,S,Adductors,Post,8,O,357,133,1032.828
7047614,47614,S,Adductors,Post,8,O,358,133,1166.159
7047747,47747,S,Adductors,Post,8,O,359,133,1314.252
7047880,47880,S,Adductors,Post,8,O,360,133,1462.753
7048013,48013,S,Adductors,Post,8,O,361,133,1590.341
7046632,46632,S,Adductors,Post,8,O,348,134,896.627
7046766,46766,S,Adductors,Post,8,O,349,134,893.506
7046900,46900,S,Adductors,Post,8,O,350,134,902.595
7047034,47034,S,Adductors,Post,8,O,351,134,904.423
7047168,47168,S,Adductors,Post,8,O,352,134,890.682
7047302,47302,S,Adductors,Post,8,O,353,134,867.525
7047436,47436,S,Adductors,Post,8,O,354,134,850.932
7047570,47570,S,Adductors,Post,8,O,355,134,858.534
7047704,47704,S,Adductors,Post,8,O,356,134,901.868
7047838,47838,S,Adductors,Post,8,O,357,134,984.947
7047972,47972,S,Adductors,Post,8,O,358,134,1107.384
7048106,48106,S,Adductors,Post,8,O,359,134,1251.188
7048240,48240,S,Adductors,Post,8,O,360,134,1407.19
7048374,48374,S,Adductors,Post,8,O,361,134,1553.49
7048508,48508,S,Adductors,Post,8,O,362,134,1657.452
7046980,46980,S,Adductors,Post,8,O,348,135,854.645
7047115,47115,S,Adductors,Post,8,O,349,135,854.619
7047250,47250,S,Adductors,Post,8,O,350,135,867.981
7047385,47385,S,Adductors,Post,8,O,351,135,875.155
7047520,47520,S,Adductors,Post,8,O,352,135,866.729
7047655,47655,S,Adductors,Post,8,O,353,135,847.4
7047790,47790,S,Adductors,Post,8,O,354,135,832.101
7047925,47925,S,Adductors,Post,8,O,355,135,837.63
7048060,48060,S,Adductors,Post,8,O,356,135,875.173
7048195,48195,S,Adductors,Post,8,O,357,135,949.02
7048330,48330,S,Adductors,Post,8,O,358,135,1061.058
7048465,48465,S,Adductors,Post,8,O,359,135,1195.878
7048600,48600,S,Adductors,Post,8,O,360,135,1348.16
7048735,48735,S,Adductors,Post,8,O,361,135,1497.755
7048870,48870,S,Adductors,Post,8,O,362,135,1614.325
7049005,49005,S,Adductors,Post,8,O,363,135,1662.51
7047328,47328,S,Adductors,Post,8,O,348,136,805.219
7047464,47464,S,Adductors,Post,8,O,349,136,809.262
7047600,47600,S,Adductors,Post,8,O,350,136,828.033
7047736,47736,S,Adductors,Post,8,O,351,136,841.895
7047872,47872,S,Adductors,Post,8,O,352,136,840.422
7048008,48008,S,Adductors,Post,8,O,353,136,826.716
7048144,48144,S,Adductors,Post,8,O,354,136,814.822
7048280,48280,S,Adductors,Post,8,O,355,136,820.967
7048416,48416,S,Adductors,Post,8,O,356,136,856.513
7048552,48552,S,Adductors,Post,8,O,357,136,925.651
7048688,48688,S,Adductors,Post,8,O,358,136,1030.25
7048824,48824,S,Adductors,Post,8,O,359,136,1153.612
7048960,48960,S,Adductors,Post,8,O,360,136,1292.383
7049096,49096,S,Adductors,Post,8,O,361,136,1429.491
7049232,49232,S,Adductors,Post,8,O,362,136,1541.062
7049368,49368,S,Adductors,Post,8,O,363,136,1601.531
7049504,49504,S,Adductors,Post,8,O,364,136,1593.127
7047676,47676,S,Adductors,Post,8,O,348,137,749.092
7047813,47813,S,Adductors,Post,8,O,349,137,757.624
7047950,47950,S,Adductors,Post,8,O,350,137,782.941
7048087,48087,S,Adductors,Post,8,O,351,137,805.162
7048224,48224,S,Adductors,Post,8,O,352,137,812.395
7048361,48361,S,Adductors,Post,8,O,353,137,806.285
7048498,48498,S,Adductors,Post,8,O,354,137,799.311
7048635,48635,S,Adductors,Post,8,O,355,137,807.813
7048772,48772,S,Adductors,Post,8,O,356,137,843.988
7048909,48909,S,Adductors,Post,8,O,357,137,912.11
7049046,49046,S,Adductors,Post,8,O,358,137,1012.706
7049183,49183,S,Adductors,Post,8,O,359,137,1124.44
7049320,49320,S,Adductors,Post,8,O,360,137,1244.235
7049457,49457,S,Adductors,Post,8,O,361,137,1358.167
7049594,49594,S,Adductors,Post,8,O,362,137,1450.651
7049731,49731,S,Adductors,Post,8,O,363,137,1508.204
7049868,49868,S,Adductors,Post,8,O,364,137,1523.341
7048024,48024,S,Adductors,Post,8,O,348,138,689.75
7048162,48162,S,Adductors,Post,8,O,349,138,702.505
7048300,48300,S,Adductors,Post,8,O,350,138,735.279
7048438,48438,S,Adductors,Post,8,O,351,138,767.287
7048576,48576,S,Adductors,Post,8,O,352,138,785.071
7048714,48714,S,Adductors,Post,8,O,353,138,787.613
7048852,48852,S,Adductors,Post,8,O,354,138,786.29
7048990,48990,S,Adductors,Post,8,O,355,138,797.647
7049128,49128,S,Adductors,Post,8,O,356,138,835.16
7049266,49266,S,Adductors,Post,8,O,357,138,903.617
7049404,49404,S,Adductors,Post,8,O,358,138,1002.251
7049542,49542,S,Adductors,Post,8,O,359,138,1103.794
7049680,49680,S,Adductors,Post,8,O,360,138,1204.663
7049818,49818,S,Adductors,Post,8,O,361,138,1293.032
7049956,49956,S,Adductors,Post,8,O,362,138,1360.715
7050094,50094,S,Adductors,Post,8,O,363,138,1405.201
7050232,50232,S,Adductors,Post,8,O,364,138,1429.296
7050370,50370,S,Adductors,Post,8,O,365,138,1438.188
7048372,48372,S,Adductors,Post,8,O,348,139,631.884
7048511,48511,S,Adductors,Post,8,O,349,139,648.083
7048650,48650,S,Adductors,Post,8,O,350,139,688.848
7048789,48789,S,Adductors,Post,8,O,351,139,731.689
7048928,48928,S,Adductors,Post,8,O,352,139,760.472
7049067,49067,S,Adductors,Post,8,O,353,139,772.185
7049206,49206,S,Adductors,Post,8,O,354,139,776.559
7049345,49345,S,Adductors,Post,8,O,355,139,790.274
7049484,49484,S,Adductors,Post,8,O,356,139,827.972
7049623,49623,S,Adductors,Post,8,O,357,139,895.402
7049762,49762,S,Adductors,Post,8,O,358,139,991.578
7049901,49901,S,Adductors,Post,8,O,359,139,1084.72
7050040,50040,S,Adductors,Post,8,O,360,139,1170.969
7050179,50179,S,Adductors,Post,8,O,361,139,1239.325
7050318,50318,S,Adductors,Post,8,O,362,139,1286.059
7050457,50457,S,Adductors,Post,8,O,363,139,1315.661
7050596,50596,S,Adductors,Post,8,O,364,139,1338.192
7050735,50735,S,Adductors,Post,8,O,365,139,1364.267
7050874,50874,S,Adductors,Post,8,O,366,139,1398.842
7048580,48580,S,Adductors,Post,8,O,347,140,610.866
7048720,48720,S,Adductors,Post,8,O,348,140,580.286
7048860,48860,S,Adductors,Post,8,O,349,140,598.963
7049000,49000,S,Adductors,Post,8,O,350,140,646.972
7049140,49140,S,Adductors,Post,8,O,351,140,700.2
7049280,49280,S,Adductors,Post,8,O,352,140,739.977
7049420,49420,S,Adductors,Post,8,O,353,140,760.73
7049560,49560,S,Adductors,Post,8,O,354,140,770.586
7049700,49700,S,Adductors,Post,8,O,355,140,785.78
7049840,49840,S,Adductors,Post,8,O,356,140,821.626
7049980,49980,S,Adductors,Post,8,O,357,140,884.995
7050120,50120,S,Adductors,Post,8,O,358,140,976.124
7050260,50260,S,Adductors,Post,8,O,359,140,1061.964
7050400,50400,S,Adductors,Post,8,O,360,140,1139.412
7050540,50540,S,Adductors,Post,8,O,361,140,1197.613
7050680,50680,S,Adductors,Post,8,O,362,140,1233.852
7050820,50820,S,Adductors,Post,8,O,363,140,1254.487
7050960,50960,S,Adductors,Post,8,O,364,140,1273.224
7051100,51100,S,Adductors,Post,8,O,365,140,1303.12
7051240,51240,S,Adductors,Post,8,O,366,140,1351.529
7051380,51380,S,Adductors,Post,8,O,367,140,1417.783
7048927,48927,S,Adductors,Post,8,O,347,141,558.512
7049068,49068,S,Adductors,Post,8,O,348,141,539.041
7049209,49209,S,Adductors,Post,8,O,349,141,555.736
7049350,49350,S,Adductors,Post,8,O,350,141,609.342
7049491,49491,S,Adductors,Post,8,O,351,141,672.61
7049632,49632,S,Adductors,Post,8,O,352,141,723.39
7049773,49773,S,Adductors,Post,8,O,353,141,753.115
7049914,49914,S,Adductors,Post,8,O,354,141,768.315
7050055,50055,S,Adductors,Post,8,O,355,141,784.663
7050196,50196,S,Adductors,Post,8,O,356,141,817.671
7050337,50337,S,Adductors,Post,8,O,357,141,875.098
7050478,50478,S,Adductors,Post,8,O,358,141,958.592
7050619,50619,S,Adductors,Post,8,O,359,141,1038.057
7050760,50760,S,Adductors,Post,8,O,360,141,1111.189
7050901,50901,S,Adductors,Post,8,O,361,141,1167.788
7051042,51042,S,Adductors,Post,8,O,362,141,1204.414
7051183,51183,S,Adductors,Post,8,O,363,141,1225.223
7051324,51324,S,Adductors,Post,8,O,364,141,1242.964
7051465,51465,S,Adductors,Post,8,O,365,141,1269.399
7051606,51606,S,Adductors,Post,8,O,366,141,1314.772
7051747,51747,S,Adductors,Post,8,O,367,141,1385.444
7049274,49274,S,Adductors,Post,8,O,347,142,537.447
7049416,49416,S,Adductors,Post,8,O,348,142,506.084
7049558,49558,S,Adductors,Post,8,O,349,142,519.01
7049700,49700,S,Adductors,Post,8,O,350,142,576.49
7049842,49842,S,Adductors,Post,8,O,351,142,648.585
7049984,49984,S,Adductors,Post,8,O,352,142,709.69
7050126,50126,S,Adductors,Post,8,O,353,142,748.331
7050268,50268,S,Adductors,Post,8,O,354,142,769.251
7050410,50410,S,Adductors,Post,8,O,355,142,787.299
7050552,50552,S,Adductors,Post,8,O,356,142,817.815
7050694,50694,S,Adductors,Post,8,O,357,142,869.239
7050836,50836,S,Adductors,Post,8,O,358,142,944.552
7050978,50978,S,Adductors,Post,8,O,359,142,1019.128
7051120,51120,S,Adductors,Post,8,O,360,142,1091.266
7051262,51262,S,Adductors,Post,8,O,361,142,1151.526
7051404,51404,S,Adductors,Post,8,O,362,142,1195.163
7051546,51546,S,Adductors,Post,8,O,363,142,1223.33
7051688,51688,S,Adductors,Post,8,O,364,142,1243.239
7051830,51830,S,Adductors,Post,8,O,365,142,1267.322
7051972,51972,S,Adductors,Post,8,O,366,142,1309.31
7052114,52114,S,Adductors,Post,8,O,367,142,1382.265
7052256,52256,S,Adductors,Post,8,O,368,142,1490.325
7049621,49621,S,Adductors,Post,8,O,347,143,525.378
7049764,49764,S,Adductors,Post,8,O,348,143,481.264
7049907,49907,S,Adductors,Post,8,O,349,143,489.485
7050050,50050,S,Adductors,Post,8,O,350,143,549.2
7050193,50193,S,Adductors,Post,8,O,351,143,628.387
7050336,50336,S,Adductors,Post,8,O,352,143,698.633
7050479,50479,S,Adductors,Post,8,O,353,143,745.956
7050622,50622,S,Adductors,Post,8,O,354,143,773.413
7050765,50765,S,Adductors,Post,8,O,355,143,794.709
7050908,50908,S,Adductors,Post,8,O,356,143,824.459
7051051,51051,S,Adductors,Post,8,O,357,143,871.246
7051194,51194,S,Adductors,Post,8,O,358,143,939.63
7051337,51337,S,Adductors,Post,8,O,359,143,1009.595
7051480,51480,S,Adductors,Post,8,O,360,143,1081.424
7051623,51623,S,Adductors,Post,8,O,361,143,1146.734
7051766,51766,S,Adductors,Post,8,O,362,143,1199.151
7051909,51909,S,Adductors,Post,8,O,363,143,1236.17
7052052,52052,S,Adductors,Post,8,O,364,143,1260.258
7052195,52195,S,Adductors,Post,8,O,365,143,1281.444
7052338,52338,S,Adductors,Post,8,O,366,143,1317.247
7052481,52481,S,Adductors,Post,8,O,367,143,1387.117
7052624,52624,S,Adductors,Post,8,O,368,143,1502.293
7049968,49968,S,Adductors,Post,8,O,347,144,518.723
7050112,50112,S,Adductors,Post,8,O,348,144,464.172
7050256,50256,S,Adductors,Post,8,O,349,144,467.73
7050400,50400,S,Adductors,Post,8,O,350,144,528.233
7050544,50544,S,Adductors,Post,8,O,351,144,612.528
7050688,50688,S,Adductors,Post,8,O,352,144,690.412
7050832,50832,S,Adductors,Post,8,O,353,144,746.183
7050976,50976,S,Adductors,Post,8,O,354,144,781.463
7051120,51120,S,Adductors,Post,8,O,355,144,808.603
7051264,51264,S,Adductors,Post,8,O,356,144,840.877
7051408,51408,S,Adductors,Post,8,O,357,144,886.497
7051552,51552,S,Adductors,Post,8,O,358,144,950.892
7051696,51696,S,Adductors,Post,8,O,359,144,1016.491
7051840,51840,S,Adductors,Post,8,O,360,144,1086.558
7051984,51984,S,Adductors,Post,8,O,361,144,1154.086
7052128,52128,S,Adductors,Post,8,O,362,144,1211.949
7052272,52272,S,Adductors,Post,8,O,363,144,1255.063
7052416,52416,S,Adductors,Post,8,O,364,144,1283.202
7052560,52560,S,Adductors,Post,8,O,365,144,1303.797
7052704,52704,S,Adductors,Post,8,O,366,144,1334.635
7052848,52848,S,Adductors,Post,8,O,367,144,1400.142
7052992,52992,S,Adductors,Post,8,O,368,144,1516.596
7053136,53136,S,Adductors,Post,8,O,369,144,1670.49
7050315,50315,S,Adductors,Post,8,O,347,145,515.519
7050460,50460,S,Adductors,Post,8,O,348,145,454.265
7050605,50605,S,Adductors,Post,8,O,349,145,454.302
7050750,50750,S,Adductors,Post,8,O,350,145,514.516
7050895,50895,S,Adductors,Post,8,O,351,145,601.851
7051040,51040,S,Adductors,Post,8,O,352,145,685.736
7051185,51185,S,Adductors,Post,8,O,353,145,749.792
7051330,51330,S,Adductors,Post,8,O,354,145,794.567
7051475,51475,S,Adductors,Post,8,O,355,145,830.831
7051620,51620,S,Adductors,Post,8,O,356,145,869.915
7051765,51765,S,Adductors,Post,8,O,357,145,918.473
7051910,51910,S,Adductors,Post,8,O,358,145,982.008
7052055,52055,S,Adductors,Post,8,O,359,145,1043.041
7052200,52200,S,Adductors,Post,8,O,360,145,1108.338
7052345,52345,S,Adductors,Post,8,O,361,145,1172.738
7052490,52490,S,Adductors,Post,8,O,362,145,1229.898
7052635,52635,S,Adductors,Post,8,O,363,145,1274.412
7052780,52780,S,Adductors,Post,8,O,364,145,1305.181
7052925,52925,S,Adductors,Post,8,O,365,145,1328.862
7053070,53070,S,Adductors,Post,8,O,366,145,1361.154
7053215,53215,S,Adductors,Post,8,O,367,145,1423.776
7053360,53360,S,Adductors,Post,8,O,368,145,1536.298
7053505,53505,S,Adductors,Post,8,O,369,145,1699.052
7050516,50516,S,Adductors,Post,8,O,346,146,630.339
7050662,50662,S,Adductors,Post,8,O,347,146,514.209
7050808,50808,S,Adductors,Post,8,O,348,146,452.09
7050954,50954,S,Adductors,Post,8,O,349,146,450.735
7051100,51100,S,Adductors,Post,8,O,350,146,509.009
7051246,51246,S,Adductors,Post,8,O,351,146,597.426
7051392,51392,S,Adductors,Post,8,O,352,146,685.693
7051538,51538,S,Adductors,Post,8,O,353,146,757.919
7051684,51684,S,Adductors,Post,8,O,354,146,813.957
7051830,51830,S,Adductors,Post,8,O,355,146,862.595
7051976,51976,S,Adductors,Post,8,O,356,146,912.324
7052122,52122,S,Adductors,Post,8,O,357,146,967.189
7052268,52268,S,Adductors,Post,8,O,358,146,1031.608
7052414,52414,S,Adductors,Post,8,O,359,146,1087.261
7052560,52560,S,Adductors,Post,8,O,360,146,1144.355
7052706,52706,S,Adductors,Post,8,O,361,146,1200.1
7052852,52852,S,Adductors,Post,8,O,362,146,1250.477
7052998,52998,S,Adductors,Post,8,O,363,146,1291.844
7053144,53144,S,Adductors,Post,8,O,364,146,1323.96
7053290,53290,S,Adductors,Post,8,O,365,146,1353.018
7053436,53436,S,Adductors,Post,8,O,366,146,1392.459
7053582,53582,S,Adductors,Post,8,O,367,146,1459.99
7053728,53728,S,Adductors,Post,8,O,368,146,1542.217
7053874,53874,S,Adductors,Post,8,O,369,146,1726.997
7054020,54020,S,Adductors,Post,8,O,370,146,1943.578
7050862,50862,S,Adductors,Post,8,O,346,147,617.829
