pix_id,XY,musc_id,grp_id,cond_id,subj_id,injury_id,X,Y,Value
5082290,82290,G,Adductors,Post,9,O,390,211,1261.244
5082501,82501,G,Adductors,Post,9,O,391,211,1160.762
5082712,82712,G,Adductors,Post,9,O,392,211,1044.238
5082923,82923,G,Adductors,Post,9,O,393,211,956.016
5082044,82044,G,Adductors,Post,9,O,387,212,1253.488
5082256,82256,G,Adductors,Post,9,O,388,212,1273.764
5082468,82468,G,Adductors,Post,9,O,389,212,1275.769
5082680,82680,G,Adductors,Post,9,O,390,212,1237.696
5082892,82892,G,Adductors,Post,9,O,391,212,1161.852
5083104,83104,G,Adductors,Post,9,O,392,212,1072.415
5083316,83316,G,Adductors,Post,9,O,393,212,1003.855
5083528,83528,G,Adductors,Post,9,O,394,212,959.926
5083740,83740,G,Adductors,Post,9,O,395,212,956.873
5082218,82218,G,Adductors,Post,9,O,386,213,1245.911
5082431,82431,G,Adductors,Post,9,O,387,213,1241.751
5082644,82644,G,Adductors,Post,9,O,388,213,1249.812
5082857,82857,G,Adductors,Post,9,O,389,213,1259.601
5083070,83070,G,Adductors,Post,9,O,390,213,1250.188
5083283,83283,G,Adductors,Post,9,O,391,213,1206.423
5083496,83496,G,Adductors,Post,9,O,392,213,1138.588
5083709,83709,G,Adductors,Post,9,O,393,213,1071.012
5083922,83922,G,Adductors,Post,9,O,394,213,1027.781
5084135,84135,G,Adductors,Post,9,O,395,213,1013.727
5084348,84348,G,Adductors,Post,9,O,396,213,1031.796
5084561,84561,G,Adductors,Post,9,O,397,213,1075.626
5082390,82390,G,Adductors,Post,9,O,385,214,1318.252
5082604,82604,G,Adductors,Post,9,O,386,214,1274.386
5082818,82818,G,Adductors,Post,9,O,387,214,1250.04
5083032,83032,G,Adductors,Post,9,O,388,214,1254.792
5083246,83246,G,Adductors,Post,9,O,389,214,1277.93
5083460,83460,G,Adductors,Post,9,O,390,214,1292.749
5083674,83674,G,Adductors,Post,9,O,391,214,1273.697
5083888,83888,G,Adductors,Post,9,O,392,214,1221.778
5084102,84102,G,Adductors,Post,9,O,393,214,1159.596
5084316,84316,G,Adductors,Post,9,O,394,214,1112.173
5084530,84530,G,Adductors,Post,9,O,395,214,1083.436
5084744,84744,G,Adductors,Post,9,O,396,214,1081.571
5084958,84958,G,Adductors,Post,9,O,397,214,1098.42
5085172,85172,G,Adductors,Post,9,O,398,214,1125.315
5082775,82775,G,Adductors,Post,9,O,385,215,1393.866
5082990,82990,G,Adductors,Post,9,O,386,215,1317.42
5083205,83205,G,Adductors,Post,9,O,387,215,1280.564
5083420,83420,G,Adductors,Post,9,O,388,215,1289.392
5083635,83635,G,Adductors,Post,9,O,389,215,1324.527
5083850,83850,G,Adductors,Post,9,O,390,215,1353.12
5084065,84065,G,Adductors,Post,9,O,391,215,1346.724
5084280,84280,G,Adductors,Post,9,O,392,215,1304.073
5084495,84495,G,Adductors,Post,9,O,393,215,1260.787
5084710,84710,G,Adductors,Post,9,O,394,215,1203.487
5084925,84925,G,Adductors,Post,9,O,395,215,1164.372
5085140,85140,G,Adductors,Post,9,O,396,215,1140.901
5085355,85355,G,Adductors,Post,9,O,397,215,1125.985
5085570,85570,G,Adductors,Post,9,O,398,215,1122.549
5085785,85785,G,Adductors,Post,9,O,399,215,1125.206
5082944,82944,G,Adductors,Post,9,O,384,216,1577.392
5083160,83160,G,Adductors,Post,9,O,385,216,1466.397
5083376,83376,G,Adductors,Post,9,O,386,216,1382
5083592,83592,G,Adductors,Post,9,O,387,216,1345.407
5083808,83808,G,Adductors,Post,9,O,388,216,1357.017
5084024,84024,G,Adductors,Post,9,O,389,216,1390.967
5084240,84240,G,Adductors,Post,9,O,390,216,1415.059
5084456,84456,G,Adductors,Post,9,O,391,216,1409.515
5084672,84672,G,Adductors,Post,9,O,392,216,1377.088
5084888,84888,G,Adductors,Post,9,O,393,216,1349.427
5085104,85104,G,Adductors,Post,9,O,394,216,1298.922
5085320,85320,G,Adductors,Post,9,O,395,216,1255.792
5085536,85536,G,Adductors,Post,9,O,396,216,1211.739
5085752,85752,G,Adductors,Post,9,O,397,216,1167.266
5085968,85968,G,Adductors,Post,9,O,398,216,1131.207
5086184,86184,G,Adductors,Post,9,O,399,216,1106.714
5083111,83111,G,Adductors,Post,9,O,383,217,1770.058
5083328,83328,G,Adductors,Post,9,O,384,217,1650.319
5083545,83545,G,Adductors,Post,9,O,385,217,1531.592
5083762,83762,G,Adductors,Post,9,O,386,217,1453.548
5083979,83979,G,Adductors,Post,9,O,387,217,1426.504
5084196,84196,G,Adductors,Post,9,O,388,217,1442.156
5084413,84413,G,Adductors,Post,9,O,389,217,1471.933
5084630,84630,G,Adductors,Post,9,O,390,217,1487.163
5084847,84847,G,Adductors,Post,9,O,391,217,1478.285
5085064,85064,G,Adductors,Post,9,O,392,217,1456.564
5085281,85281,G,Adductors,Post,9,O,393,217,1451.763
5085498,85498,G,Adductors,Post,9,O,394,217,1410.869
5085715,85715,G,Adductors,Post,9,O,395,217,1366.322
5085932,85932,G,Adductors,Post,9,O,396,217,1300.967
5086149,86149,G,Adductors,Post,9,O,397,217,1229.369
5086366,86366,G,Adductors,Post,9,O,398,217,1156.19
5086583,86583,G,Adductors,Post,9,O,399,217,1099.355
5083276,83276,G,Adductors,Post,9,O,382,218,1859.102
5083494,83494,G,Adductors,Post,9,O,383,218,1782.588
5083712,83712,G,Adductors,Post,9,O,384,218,1684.162
5083930,83930,G,Adductors,Post,9,O,385,218,1586.571
5084148,84148,G,Adductors,Post,9,O,386,218,1525.862
5084366,84366,G,Adductors,Post,9,O,387,218,1512.495
5084584,84584,G,Adductors,Post,9,O,388,218,1533.398
5084802,84802,G,Adductors,Post,9,O,389,218,1561.215
5085020,85020,G,Adductors,Post,9,O,390,218,1571.625
5085238,85238,G,Adductors,Post,9,O,391,218,1563.533
5085456,85456,G,Adductors,Post,9,O,392,218,1556.997
5085674,85674,G,Adductors,Post,9,O,393,218,1579.202
5085892,85892,G,Adductors,Post,9,O,394,218,1554.247
5086110,86110,G,Adductors,Post,9,O,395,218,1506.208
5086328,86328,G,Adductors,Post,9,O,396,218,1421.382
5086546,86546,G,Adductors,Post,9,O,397,218,1318.024
5086764,86764,G,Adductors,Post,9,O,398,218,1201.637
5086982,86982,G,Adductors,Post,9,O,399,218,1111.168
5087200,87200,G,Adductors,Post,9,O,400,218,1068.646
5083658,83658,G,Adductors,Post,9,O,382,219,1753.139
5083877,83877,G,Adductors,Post,9,O,383,219,1741.381
5084096,84096,G,Adductors,Post,9,O,384,219,1703.555
5084315,84315,G,Adductors,Post,9,O,385,219,1652.723
5084534,84534,G,Adductors,Post,9,O,386,219,1616.5
5084753,84753,G,Adductors,Post,9,O,387,219,1608.504
5084972,84972,G,Adductors,Post,9,O,388,219,1625.71
5085191,85191,G,Adductors,Post,9,O,389,219,1649.401
5085410,85410,G,Adductors,Post,9,O,390,219,1659.384
5085629,85629,G,Adductors,Post,9,O,391,219,1657.722
5085848,85848,G,Adductors,Post,9,O,392,219,1668.427
5086067,86067,G,Adductors,Post,9,O,393,219,1716.586
5086286,86286,G,Adductors,Post,9,O,394,219,1718.236
5086505,86505,G,Adductors,Post,9,O,395,219,1672.945
5086724,86724,G,Adductors,Post,9,O,396,219,1576.577
5086943,86943,G,Adductors,Post,9,O,397,219,1434.429
5087162,87162,G,Adductors,Post,9,O,398,219,1272.147
5087381,87381,G,Adductors,Post,9,O,399,219,1142.706
5087600,87600,G,Adductors,Post,9,O,400,219,1066.032
5083820,83820,G,Adductors,Post,9,O,381,220,1666.72
5084040,84040,G,Adductors,Post,9,O,382,220,1719.644
5084260,84260,G,Adductors,Post,9,O,383,220,1753.034
5084480,84480,G,Adductors,Post,9,O,384,220,1764.301
5084700,84700,G,Adductors,Post,9,O,385,220,1755.983
5084920,84920,G,Adductors,Post,9,O,386,220,1738.369
5085140,85140,G,Adductors,Post,9,O,387,220,1722.346
5085360,85360,G,Adductors,Post,9,O,388,220,1717.552
5085580,85580,G,Adductors,Post,9,O,389,220,1727.397
5085800,85800,G,Adductors,Post,9,O,390,220,1731.759
5086020,86020,G,Adductors,Post,9,O,391,220,1738.695
5086240,86240,G,Adductors,Post,9,O,392,220,1793.69
5086460,86460,G,Adductors,Post,9,O,393,220,1828.007
5086680,86680,G,Adductors,Post,9,O,394,220,1862.91
5086900,86900,G,Adductors,Post,9,O,395,220,1843.347
5087120,87120,G,Adductors,Post,9,O,396,220,1743.092
5087340,87340,G,Adductors,Post,9,O,397,220,1572.812
5087560,87560,G,Adductors,Post,9,O,398,220,1372.997
5087780,87780,G,Adductors,Post,9,O,399,220,1192.297
5088000,88000,G,Adductors,Post,9,O,400,220,1073.474
5088220,88220,G,Adductors,Post,9,O,401,220,1044.278
5083980,83980,G,Adductors,Post,9,O,380,221,1665.065
5084201,84201,G,Adductors,Post,9,O,381,221,1729.84
5084422,84422,G,Adductors,Post,9,O,382,221,1792.612
5084643,84643,G,Adductors,Post,9,O,383,221,1848
5084864,84864,G,Adductors,Post,9,O,384,221,1882.762
5085085,85085,G,Adductors,Post,9,O,385,221,1893.244
5085306,85306,G,Adductors,Post,9,O,386,221,1882.726
5085527,85527,G,Adductors,Post,9,O,387,221,1859.866
5085748,85748,G,Adductors,Post,9,O,388,221,1830.812
5085969,85969,G,Adductors,Post,9,O,389,221,1801.96
5086190,86190,G,Adductors,Post,9,O,390,221,1777.704
5086411,86411,G,Adductors,Post,9,O,391,221,1772.946
5086632,86632,G,Adductors,Post,9,O,392,221,1802.382
5086853,86853,G,Adductors,Post,9,O,393,221,1871.868
5087074,87074,G,Adductors,Post,9,O,394,221,1941.59
5087295,87295,G,Adductors,Post,9,O,395,221,1977.074
5087516,87516,G,Adductors,Post,9,O,396,221,1888.904
5087737,87737,G,Adductors,Post,9,O,397,221,1720.016
5087958,87958,G,Adductors,Post,9,O,398,221,1487.181
5088179,88179,G,Adductors,Post,9,O,399,221,1259.626
5088400,88400,G,Adductors,Post,9,O,400,221,1098.884
5088621,88621,G,Adductors,Post,9,O,401,221,1034.685
5084360,84360,G,Adductors,Post,9,O,380,222,1761.588
5084582,84582,G,Adductors,Post,9,O,381,222,1821.407
5084804,84804,G,Adductors,Post,9,O,382,222,1879.108
5085026,85026,G,Adductors,Post,9,O,383,222,1934.021
5085248,85248,G,Adductors,Post,9,O,384,222,1971.031
5085470,85470,G,Adductors,Post,9,O,385,222,1994.461
5085692,85692,G,Adductors,Post,9,O,386,222,1981.21
5085914,85914,G,Adductors,Post,9,O,387,222,1945.312
5086136,86136,G,Adductors,Post,9,O,388,222,1892.3
5086358,86358,G,Adductors,Post,9,O,389,222,1831.834
5086580,86580,G,Adductors,Post,9,O,390,222,1772.647
5086802,86802,G,Adductors,Post,9,O,391,222,1729.874
5087024,87024,G,Adductors,Post,9,O,392,222,1725.804
5087246,87246,G,Adductors,Post,9,O,393,222,1829.412
5087468,87468,G,Adductors,Post,9,O,394,222,1931.61
5087690,87690,G,Adductors,Post,9,O,395,222,2021.3
5087912,87912,G,Adductors,Post,9,O,396,222,1984.751
5088134,88134,G,Adductors,Post,9,O,397,222,1842.597
5088356,88356,G,Adductors,Post,9,O,398,222,1603.684
5088578,88578,G,Adductors,Post,9,O,399,222,1345.304
5088800,88800,G,Adductors,Post,9,O,400,222,1140.467
5089022,89022,G,Adductors,Post,9,O,401,222,1032.885
5084740,84740,G,Adductors,Post,9,O,380,223,1827.672
5084963,84963,G,Adductors,Post,9,O,381,223,1865.79
5085186,85186,G,Adductors,Post,9,O,382,223,1906.422
5085409,85409,G,Adductors,Post,9,O,383,223,1949.354
5085632,85632,G,Adductors,Post,9,O,384,223,1985.526
5085855,85855,G,Adductors,Post,9,O,385,223,2002.366
5086078,86078,G,Adductors,Post,9,O,386,223,1999.169
5086301,86301,G,Adductors,Post,9,O,387,223,1964.127
5086524,86524,G,Adductors,Post,9,O,388,223,1900.062
5086747,86747,G,Adductors,Post,9,O,389,223,1811.416
5086970,86970,G,Adductors,Post,9,O,390,223,1714.449
5087193,87193,G,Adductors,Post,9,O,391,223,1595.348
5087416,87416,G,Adductors,Post,9,O,392,223,1586.125
5087639,87639,G,Adductors,Post,9,O,393,223,1667.963
5087862,87862,G,Adductors,Post,9,O,394,223,1821.587
5088085,88085,G,Adductors,Post,9,O,395,223,1969.904
5088308,88308,G,Adductors,Post,9,O,396,223,2012.163
5088531,88531,G,Adductors,Post,9,O,397,223,1918.278
5088754,88754,G,Adductors,Post,9,O,398,223,1711.836
5088977,88977,G,Adductors,Post,9,O,399,223,1443.728
5089200,89200,G,Adductors,Post,9,O,400,223,1199.819
5089423,89423,G,Adductors,Post,9,O,401,223,1049.136
5089646,89646,G,Adductors,Post,9,O,402,223,1018.744
5084896,84896,G,Adductors,Post,9,O,379,224,1843.269
5085120,85120,G,Adductors,Post,9,O,380,224,1867.171
5085344,85344,G,Adductors,Post,9,O,381,224,1889.457
5085568,85568,G,Adductors,Post,9,O,382,224,1911.431
5085792,85792,G,Adductors,Post,9,O,383,224,1937.289
5086016,86016,G,Adductors,Post,9,O,384,224,1967.633
5086240,86240,G,Adductors,Post,9,O,385,224,1987.411
5086464,86464,G,Adductors,Post,9,O,386,224,1989.585
5086688,86688,G,Adductors,Post,9,O,387,224,1953.825
5086912,86912,G,Adductors,Post,9,O,388,224,1888.256
5087136,87136,G,Adductors,Post,9,O,389,224,1789.695
5087360,87360,G,Adductors,Post,9,O,390,224,1669.533
5087584,87584,G,Adductors,Post,9,O,391,224,1538.093
5087808,87808,G,Adductors,Post,9,O,392,224,1472.054
5088032,88032,G,Adductors,Post,9,O,393,224,1478.085
5088256,88256,G,Adductors,Post,9,O,394,224,1605.737
5088480,88480,G,Adductors,Post,9,O,395,224,1801.337
5088704,88704,G,Adductors,Post,9,O,396,224,1964.339
5088928,88928,G,Adductors,Post,9,O,397,224,1943.979
5089152,89152,G,Adductors,Post,9,O,398,224,1798.608
5089376,89376,G,Adductors,Post,9,O,399,224,1546.085
5089600,89600,G,Adductors,Post,9,O,400,224,1279.125
5089824,89824,G,Adductors,Post,9,O,401,224,1090.237
5090048,90048,G,Adductors,Post,9,O,402,224,1012.701
5085275,85275,G,Adductors,Post,9,O,379,225,1873.93
5085500,85500,G,Adductors,Post,9,O,380,225,1904.91
5085725,85725,G,Adductors,Post,9,O,381,225,1928.677
5085950,85950,G,Adductors,Post,9,O,382,225,1952.26
5086175,86175,G,Adductors,Post,9,O,383,225,1975.967
5086400,86400,G,Adductors,Post,9,O,384,225,2008.985
5086625,86625,G,Adductors,Post,9,O,385,225,2038.427
5086850,86850,G,Adductors,Post,9,O,386,225,2041.518
5087075,87075,G,Adductors,Post,9,O,387,225,2018.407
5087300,87300,G,Adductors,Post,9,O,388,225,1933.348
5087525,87525,G,Adductors,Post,9,O,389,225,1824.414
5087750,87750,G,Adductors,Post,9,O,390,225,1691.508
5087975,87975,G,Adductors,Post,9,O,391,225,1544.95
5088200,88200,G,Adductors,Post,9,O,392,225,1426.872
5088425,88425,G,Adductors,Post,9,O,393,225,1376.685
5088650,88650,G,Adductors,Post,9,O,394,225,1419.229
5088875,88875,G,Adductors,Post,9,O,395,225,1589.582
5089100,89100,G,Adductors,Post,9,O,396,225,1784.532
5089325,89325,G,Adductors,Post,9,O,397,225,1906.785
5089550,89550,G,Adductors,Post,9,O,398,225,1849.111
5089775,89775,G,Adductors,Post,9,O,399,225,1646.972
5090000,90000,G,Adductors,Post,9,O,400,225,1384.588
5090225,90225,G,Adductors,Post,9,O,401,225,1155.297
5090450,90450,G,Adductors,Post,9,O,402,225,1038.104
5085428,85428,G,Adductors,Post,9,O,378,226,1841.224
5085654,85654,G,Adductors,Post,9,O,379,226,1892.316
5085880,85880,G,Adductors,Post,9,O,380,226,1933.638
5086106,86106,G,Adductors,Post,9,O,381,226,1970.255
5086332,86332,G,Adductors,Post,9,O,382,226,2015.509
5086558,86558,G,Adductors,Post,9,O,383,226,2072.732
5086784,86784,G,Adductors,Post,9,O,384,226,2136.722
5087010,87010,G,Adductors,Post,9,O,385,226,2194.298
5087236,87236,G,Adductors,Post,9,O,386,226,2214.342
5087462,87462,G,Adductors,Post,9,O,387,226,2181.306
5087688,87688,G,Adductors,Post,9,O,388,226,2099.453
5087914,87914,G,Adductors,Post,9,O,389,226,1956.755
5088140,88140,G,Adductors,Post,9,O,390,226,1802.087
5088366,88366,G,Adductors,Post,9,O,391,226,1622.727
5088592,88592,G,Adductors,Post,9,O,392,226,1473.469
5088818,88818,G,Adductors,Post,9,O,393,226,1384.571
5089044,89044,G,Adductors,Post,9,O,394,226,1372.888
5089270,89270,G,Adductors,Post,9,O,395,226,1452.083
5089496,89496,G,Adductors,Post,9,O,396,226,1637.071
5089722,89722,G,Adductors,Post,9,O,397,226,1812.962
5089948,89948,G,Adductors,Post,9,O,398,226,1866.857
5090174,90174,G,Adductors,Post,9,O,399,226,1740.484
5090400,90400,G,Adductors,Post,9,O,400,226,1500.966
5090626,90626,G,Adductors,Post,9,O,401,226,1249.681
5090852,90852,G,Adductors,Post,9,O,402,226,1093.957
5091078,91078,G,Adductors,Post,9,O,403,226,1039.24
5085806,85806,G,Adductors,Post,9,O,378,227,1852.347
5086033,86033,G,Adductors,Post,9,O,379,227,1906.139
5086260,86260,G,Adductors,Post,9,O,380,227,1960.578
5086487,86487,G,Adductors,Post,9,O,381,227,2017.922
5086714,86714,G,Adductors,Post,9,O,382,227,2085.66
5086941,86941,G,Adductors,Post,9,O,383,227,2178.799
5087168,87168,G,Adductors,Post,9,O,384,227,2283.425
5087395,87395,G,Adductors,Post,9,O,385,227,2383.749
5087622,87622,G,Adductors,Post,9,O,386,227,2453.597
5087849,87849,G,Adductors,Post,9,O,387,227,2442.285
5088076,88076,G,Adductors,Post,9,O,388,227,2343.443
5088303,88303,G,Adductors,Post,9,O,389,227,2181.118
5088530,88530,G,Adductors,Post,9,O,390,227,1978.827
5088757,88757,G,Adductors,Post,9,O,391,227,1760.641
5088984,88984,G,Adductors,Post,9,O,392,227,1587.199
5089211,89211,G,Adductors,Post,9,O,393,227,1460.372
5089438,89438,G,Adductors,Post,9,O,394,227,1416.674
5089665,89665,G,Adductors,Post,9,O,395,227,1456.122
5089892,89892,G,Adductors,Post,9,O,396,227,1578.696
5090119,90119,G,Adductors,Post,9,O,397,227,1747.19
5090346,90346,G,Adductors,Post,9,O,398,227,1865.494
5090573,90573,G,Adductors,Post,9,O,399,227,1828.393
5090800,90800,G,Adductors,Post,9,O,400,227,1634.17
5091027,91027,G,Adductors,Post,9,O,401,227,1374.406
5091254,91254,G,Adductors,Post,9,O,402,227,1173.155
5091481,91481,G,Adductors,Post,9,O,403,227,1070.404
5086184,86184,G,Adductors,Post,9,O,378,228,1877.657
5086412,86412,G,Adductors,Post,9,O,379,228,1929.886
5086640,86640,G,Adductors,Post,9,O,380,228,1990.482
5086868,86868,G,Adductors,Post,9,O,381,228,2066.815
5087096,87096,G,Adductors,Post,9,O,382,228,2160.944
5087324,87324,G,Adductors,Post,9,O,383,228,2280.879
5087552,87552,G,Adductors,Post,9,O,384,228,2428.183
5087780,87780,G,Adductors,Post,9,O,385,228,2567.422
5088008,88008,G,Adductors,Post,9,O,386,228,2671.537
5088236,88236,G,Adductors,Post,9,O,387,228,2694.19
5088464,88464,G,Adductors,Post,9,O,388,228,2606.548
5088692,88692,G,Adductors,Post,9,O,389,228,2430.962
5088920,88920,G,Adductors,Post,9,O,390,228,2178.309
5089148,89148,G,Adductors,Post,9,O,391,228,1922.7
5089376,89376,G,Adductors,Post,9,O,392,228,1712.614
5089604,89604,G,Adductors,Post,9,O,393,228,1576.645
5089832,89832,G,Adductors,Post,9,O,394,228,1503.536
5090060,90060,G,Adductors,Post,9,O,395,228,1512.107
5090288,90288,G,Adductors,Post,9,O,396,228,1592.868
5090516,90516,G,Adductors,Post,9,O,397,228,1731.605
5090744,90744,G,Adductors,Post,9,O,398,228,1854.521
5090972,90972,G,Adductors,Post,9,O,399,228,1899.924
5091200,91200,G,Adductors,Post,9,O,400,228,1784.156
5091428,91428,G,Adductors,Post,9,O,401,228,1547.937
5091656,91656,G,Adductors,Post,9,O,402,228,1276.761
5091884,91884,G,Adductors,Post,9,O,403,228,1126.64
5086333,86333,G,Adductors,Post,9,O,377,229,1886.602
5086562,86562,G,Adductors,Post,9,O,378,229,1933.118
5086791,86791,G,Adductors,Post,9,O,379,229,1978.285
5087020,87020,G,Adductors,Post,9,O,380,229,2035.941
5087249,87249,G,Adductors,Post,9,O,381,229,2116.097
5087478,87478,G,Adductors,Post,9,O,382,229,2224.516
5087707,87707,G,Adductors,Post,9,O,383,229,2362.96
5087936,87936,G,Adductors,Post,9,O,384,229,2531.865
5088165,88165,G,Adductors,Post,9,O,385,229,2697.514
5088394,88394,G,Adductors,Post,9,O,386,229,2815.519
5088623,88623,G,Adductors,Post,9,O,387,229,2858.203
5088852,88852,G,Adductors,Post,9,O,388,229,2782.962
5089081,89081,G,Adductors,Post,9,O,389,229,2608.767
5089310,89310,G,Adductors,Post,9,O,390,229,2335.745
5089539,89539,G,Adductors,Post,9,O,391,229,2061.982
5089768,89768,G,Adductors,Post,9,O,392,229,1825.265
5089997,89997,G,Adductors,Post,9,O,393,229,1666.987
5090226,90226,G,Adductors,Post,9,O,394,229,1595.952
5090455,90455,G,Adductors,Post,9,O,395,229,1586.905
5090684,90684,G,Adductors,Post,9,O,396,229,1642.674
5090913,90913,G,Adductors,Post,9,O,397,229,1741.688
5091142,91142,G,Adductors,Post,9,O,398,229,1858.981
5091371,91371,G,Adductors,Post,9,O,399,229,1916.104
5091600,91600,G,Adductors,Post,9,O,400,229,1878.799
5091829,91829,G,Adductors,Post,9,O,401,229,1703.948
5092058,92058,G,Adductors,Post,9,O,402,229,1455.385
5092287,92287,G,Adductors,Post,9,O,403,229,1219.1
5092516,92516,G,Adductors,Post,9,O,404,229,1068.362
5086710,86710,G,Adductors,Post,9,O,377,230,1977.619
5086940,86940,G,Adductors,Post,9,O,378,230,2017.224
5087170,87170,G,Adductors,Post,9,O,379,230,2054.104
5087400,87400,G,Adductors,Post,9,O,380,230,2098.909
5087630,87630,G,Adductors,Post,9,O,381,230,2166.66
5087860,87860,G,Adductors,Post,9,O,382,230,2267.668
5088090,88090,G,Adductors,Post,9,O,383,230,2402.065
5088320,88320,G,Adductors,Post,9,O,384,230,2561.221
5088550,88550,G,Adductors,Post,9,O,385,230,2726.933
5088780,88780,G,Adductors,Post,9,O,386,230,2853.257
5089010,89010,G,Adductors,Post,9,O,387,230,2883.325
5089240,89240,G,Adductors,Post,9,O,388,230,2818.57
5089470,89470,G,Adductors,Post,9,O,389,230,2653.35
5089700,89700,G,Adductors,Post,9,O,390,230,2417.464
5089930,89930,G,Adductors,Post,9,O,391,230,2144.395
5090160,90160,G,Adductors,Post,9,O,392,230,1911.997
5090390,90390,G,Adductors,Post,9,O,393,230,1741.316
5090620,90620,G,Adductors,Post,9,O,394,230,1650.393
