pix_id,XY,musc_id,grp_id,cond_id,subj_id,injury_id,X,Y,Value
11015648,15648,VL,Quadriceps,Post,9,O,163,96,676.402
11015744,15744,VL,Quadriceps,Post,9,O,164,96,640.653
11015840,15840,VL,Quadriceps,Post,9,O,165,96,655.587
11015936,15936,VL,Quadriceps,Post,9,O,166,96,699.042
11015326,15326,VL,Quadriceps,Post,9,O,158,97,1414.796
11015423,15423,VL,Quadriceps,Post,9,O,159,97,1242.822
11015520,15520,VL,Quadriceps,Post,9,O,160,97,1026.124
11015617,15617,VL,Quadriceps,Post,9,O,161,97,819.19
11015714,15714,VL,Quadriceps,Post,9,O,162,97,655.148
11015811,15811,VL,Quadriceps,Post,9,O,163,97,571.221
11015908,15908,VL,Quadriceps,Post,9,O,164,97,556.455
11016005,16005,VL,Quadriceps,Post,9,O,165,97,586.599
11016102,16102,VL,Quadriceps,Post,9,O,166,97,636.003
11016199,16199,VL,Quadriceps,Post,9,O,167,97,694.109
11015092,15092,VL,Quadriceps,Post,9,O,154,98,1417.243
11015190,15190,VL,Quadriceps,Post,9,O,155,98,1524.375
11015288,15288,VL,Quadriceps,Post,9,O,156,98,1566.431
11015386,15386,VL,Quadriceps,Post,9,O,157,98,1492.735
11015484,15484,VL,Quadriceps,Post,9,O,158,98,1321.162
11015582,15582,VL,Quadriceps,Post,9,O,159,98,1090.169
11015680,15680,VL,Quadriceps,Post,9,O,160,98,853.509
11015778,15778,VL,Quadriceps,Post,9,O,161,98,660.814
11015876,15876,VL,Quadriceps,Post,9,O,162,98,548.005
11015974,15974,VL,Quadriceps,Post,9,O,163,98,514.359
11016072,16072,VL,Quadriceps,Post,9,O,164,98,549.838
11016170,16170,VL,Quadriceps,Post,9,O,165,98,592.685
11016268,16268,VL,Quadriceps,Post,9,O,166,98,645.493
11016366,16366,VL,Quadriceps,Post,9,O,167,98,705.284
11016464,16464,VL,Quadriceps,Post,9,O,168,98,770.075
11016562,16562,VL,Quadriceps,Post,9,O,169,98,833.964
11015147,15147,VL,Quadriceps,Post,9,O,153,99,1439.332
11015246,15246,VL,Quadriceps,Post,9,O,154,99,1545.122
11015345,15345,VL,Quadriceps,Post,9,O,155,99,1595.395
11015444,15444,VL,Quadriceps,Post,9,O,156,99,1548.514
11015543,15543,VL,Quadriceps,Post,9,O,157,99,1380.874
11015642,15642,VL,Quadriceps,Post,9,O,158,99,1144.255
11015741,15741,VL,Quadriceps,Post,9,O,159,99,889.614
11015840,15840,VL,Quadriceps,Post,9,O,160,99,669.055
11015939,15939,VL,Quadriceps,Post,9,O,161,99,529.83
11016038,16038,VL,Quadriceps,Post,9,O,162,99,483.29
11016137,16137,VL,Quadriceps,Post,9,O,163,99,494.873
11016236,16236,VL,Quadriceps,Post,9,O,164,99,537.487
11016335,16335,VL,Quadriceps,Post,9,O,165,99,587.277
11016434,16434,VL,Quadriceps,Post,9,O,166,99,641.829
11016533,16533,VL,Quadriceps,Post,9,O,167,99,705.859
11016632,16632,VL,Quadriceps,Post,9,O,168,99,778.364
11016731,16731,VL,Quadriceps,Post,9,O,169,99,848.104
11016830,16830,VL,Quadriceps,Post,9,O,170,99,899.222
11015200,15200,VL,Quadriceps,Post,9,O,152,100,1453.971
11015300,15300,VL,Quadriceps,Post,9,O,153,100,1556.973
11015400,15400,VL,Quadriceps,Post,9,O,154,100,1610.112
11015500,15500,VL,Quadriceps,Post,9,O,155,100,1578.388
11015600,15600,VL,Quadriceps,Post,9,O,156,100,1429.035
11015700,15700,VL,Quadriceps,Post,9,O,157,100,1193.593
11015800,15800,VL,Quadriceps,Post,9,O,158,100,928.098
11015900,15900,VL,Quadriceps,Post,9,O,159,100,687.753
11016000,16000,VL,Quadriceps,Post,9,O,160,100,527.867
11016100,16100,VL,Quadriceps,Post,9,O,161,100,474.04
11016200,16200,VL,Quadriceps,Post,9,O,162,100,479.897
11016300,16300,VL,Quadriceps,Post,9,O,163,100,520.643
11016400,16400,VL,Quadriceps,Post,9,O,164,100,571.926
11016500,16500,VL,Quadriceps,Post,9,O,165,100,622.461
11016600,16600,VL,Quadriceps,Post,9,O,166,100,676.794
11016700,16700,VL,Quadriceps,Post,9,O,167,100,742.505
11016800,16800,VL,Quadriceps,Post,9,O,168,100,817.151
11016900,16900,VL,Quadriceps,Post,9,O,169,100,884.904
11017000,17000,VL,Quadriceps,Post,9,O,170,100,922.865
11017100,17100,VL,Quadriceps,Post,9,O,171,100,918.784
11017200,17200,VL,Quadriceps,Post,9,O,172,100,887.752
11015251,15251,VL,Quadriceps,Post,9,O,151,101,1452.406
11015352,15352,VL,Quadriceps,Post,9,O,152,101,1558.343
11015453,15453,VL,Quadriceps,Post,9,O,153,101,1614.556
11015554,15554,VL,Quadriceps,Post,9,O,154,101,1590.942
11015655,15655,VL,Quadriceps,Post,9,O,155,101,1467.57
11015756,15756,VL,Quadriceps,Post,9,O,156,101,1238.911
11015857,15857,VL,Quadriceps,Post,9,O,157,101,970.905
11015958,15958,VL,Quadriceps,Post,9,O,158,101,726.72
11016059,16059,VL,Quadriceps,Post,9,O,159,101,554.733
11016160,16160,VL,Quadriceps,Post,9,O,160,101,480.425
11016261,16261,VL,Quadriceps,Post,9,O,161,101,482.835
11016362,16362,VL,Quadriceps,Post,9,O,162,101,525.202
11016463,16463,VL,Quadriceps,Post,9,O,163,101,580.368
11016564,16564,VL,Quadriceps,Post,9,O,164,101,632.698
11016665,16665,VL,Quadriceps,Post,9,O,165,101,682.929
11016766,16766,VL,Quadriceps,Post,9,O,166,101,741.568
11016867,16867,VL,Quadriceps,Post,9,O,167,101,812.849
11016968,16968,VL,Quadriceps,Post,9,O,168,101,884.723
11017069,17069,VL,Quadriceps,Post,9,O,169,101,937.207
11017170,17170,VL,Quadriceps,Post,9,O,170,101,953.282
11017271,17271,VL,Quadriceps,Post,9,O,171,101,929.29
11017372,17372,VL,Quadriceps,Post,9,O,172,101,875.204
11017473,17473,VL,Quadriceps,Post,9,O,173,101,823.394
11015198,15198,VL,Quadriceps,Post,9,O,149,102,1287.522
11015300,15300,VL,Quadriceps,Post,9,O,150,102,1429.867
11015402,15402,VL,Quadriceps,Post,9,O,151,102,1546.343
11015504,15504,VL,Quadriceps,Post,9,O,152,102,1613.061
11015606,15606,VL,Quadriceps,Post,9,O,153,102,1599.102
11015708,15708,VL,Quadriceps,Post,9,O,154,102,1488.679
11015810,15810,VL,Quadriceps,Post,9,O,155,102,1279.713
11015912,15912,VL,Quadriceps,Post,9,O,156,102,1015.631
11016014,16014,VL,Quadriceps,Post,9,O,157,102,773.44
11016116,16116,VL,Quadriceps,Post,9,O,158,102,596.252
11016218,16218,VL,Quadriceps,Post,9,O,159,102,501.85
11016320,16320,VL,Quadriceps,Post,9,O,160,102,502.324
11016422,16422,VL,Quadriceps,Post,9,O,161,102,546.871
11016524,16524,VL,Quadriceps,Post,9,O,162,102,608.986
11016626,16626,VL,Quadriceps,Post,9,O,163,102,670.796
11016728,16728,VL,Quadriceps,Post,9,O,164,102,725.285
11016830,16830,VL,Quadriceps,Post,9,O,165,102,786.238
11016932,16932,VL,Quadriceps,Post,9,O,166,102,859.374
11017034,17034,VL,Quadriceps,Post,9,O,167,102,937.885
11017136,17136,VL,Quadriceps,Post,9,O,168,102,1002.681
11017238,17238,VL,Quadriceps,Post,9,O,169,102,1031.08
11017340,17340,VL,Quadriceps,Post,9,O,170,102,1014.037
11017442,17442,VL,Quadriceps,Post,9,O,171,102,959.178
11017544,17544,VL,Quadriceps,Post,9,O,172,102,879.408
11017646,17646,VL,Quadriceps,Post,9,O,173,102,823.511
11017748,17748,VL,Quadriceps,Post,9,O,174,102,785.495
11017850,17850,VL,Quadriceps,Post,9,O,175,102,772.861
11015244,15244,VL,Quadriceps,Post,9,O,148,103,1209.335
11015347,15347,VL,Quadriceps,Post,9,O,149,103,1377.481
11015450,15450,VL,Quadriceps,Post,9,O,150,103,1524.169
11015553,15553,VL,Quadriceps,Post,9,O,151,103,1610.175
11015656,15656,VL,Quadriceps,Post,9,O,152,103,1612.736
11015759,15759,VL,Quadriceps,Post,9,O,153,103,1513.861
11015862,15862,VL,Quadriceps,Post,9,O,154,103,1316.967
11015965,15965,VL,Quadriceps,Post,9,O,155,103,1059.522
11016068,16068,VL,Quadriceps,Post,9,O,156,103,819.839
11016171,16171,VL,Quadriceps,Post,9,O,157,103,641.172
11016274,16274,VL,Quadriceps,Post,9,O,158,103,543.268
11016377,16377,VL,Quadriceps,Post,9,O,159,103,532.542
11016480,16480,VL,Quadriceps,Post,9,O,160,103,582.583
11016583,16583,VL,Quadriceps,Post,9,O,161,103,651.648
11016686,16686,VL,Quadriceps,Post,9,O,162,103,719.469
