pix_id,XY,musc_id,grp_id,cond_id,subj_id,injury_id,X,Y,Value
5082290,82290,G,Adductors,Pre,12,O,390,211,946.9
5082501,82501,G,Adductors,Pre,12,O,391,211,957.842
5082712,82712,G,Adductors,Pre,12,O,392,211,1069.25
5082923,82923,G,Adductors,Pre,12,O,393,211,1254.004
5082044,82044,G,Adductors,Pre,12,O,387,212,1233.776
5082256,82256,G,Adductors,Pre,12,O,388,212,1111.939
5082468,82468,G,Adductors,Pre,12,O,389,212,1035.827
5082680,82680,G,Adductors,Pre,12,O,390,212,1005.725
5082892,82892,G,Adductors,Pre,12,O,391,212,1008.739
5083104,83104,G,Adductors,Pre,12,O,392,212,1053.742
5083316,83316,G,Adductors,Pre,12,O,393,212,1147.626
5083528,83528,G,Adductors,Pre,12,O,394,212,1430.38
5083740,83740,G,Adductors,Pre,12,O,395,212,1439.766
5082218,82218,G,Adductors,Pre,12,O,386,213,1467.541
5082431,82431,G,Adductors,Pre,12,O,387,213,1289.199
5082644,82644,G,Adductors,Pre,12,O,388,213,1114.258
5082857,82857,G,Adductors,Pre,12,O,389,213,1014.752
5083070,83070,G,Adductors,Pre,12,O,390,213,1016.16
5083283,83283,G,Adductors,Pre,12,O,391,213,1084.718
5083496,83496,G,Adductors,Pre,12,O,392,213,1154.959
5083709,83709,G,Adductors,Pre,12,O,393,213,1181.403
5083922,83922,G,Adductors,Pre,12,O,394,213,1180.615
5084135,84135,G,Adductors,Pre,12,O,395,213,1166.396
5084348,84348,G,Adductors,Pre,12,O,396,213,1131.177
5084561,84561,G,Adductors,Pre,12,O,397,213,1134.095
5082390,82390,G,Adductors,Pre,12,O,385,214,1784.28
5082604,82604,G,Adductors,Pre,12,O,386,214,1565.999
5082818,82818,G,Adductors,Pre,12,O,387,214,1281.634
5083032,83032,G,Adductors,Pre,12,O,388,214,1052.833
5083246,83246,G,Adductors,Pre,12,O,389,214,940.718
5083460,83460,G,Adductors,Pre,12,O,390,214,966.643
5083674,83674,G,Adductors,Pre,12,O,391,214,1092.626
5083888,83888,G,Adductors,Pre,12,O,392,214,1264.531
5084102,84102,G,Adductors,Pre,12,O,393,214,1346.78
5084316,84316,G,Adductors,Pre,12,O,394,214,1250.894
5084530,84530,G,Adductors,Pre,12,O,395,214,1081.289
5084744,84744,G,Adductors,Pre,12,O,396,214,949.834
5084958,84958,G,Adductors,Pre,12,O,397,214,904.967
5085172,85172,G,Adductors,Pre,12,O,398,214,971.946
5082775,82775,G,Adductors,Pre,12,O,385,215,1916.56
5082990,82990,G,Adductors,Pre,12,O,386,215,1572.676
5083205,83205,G,Adductors,Pre,12,O,387,215,1206.408
5083420,83420,G,Adductors,Pre,12,O,388,215,954.931
5083635,83635,G,Adductors,Pre,12,O,389,215,880.248
5083850,83850,G,Adductors,Pre,12,O,390,215,942.037
5084065,84065,G,Adductors,Pre,12,O,391,215,1107.547
5084280,84280,G,Adductors,Pre,12,O,392,215,1360.855
5084495,84495,G,Adductors,Pre,12,O,393,215,1634.02
5084710,84710,G,Adductors,Pre,12,O,394,215,1559.016
5084925,84925,G,Adductors,Pre,12,O,395,215,1227.677
5085140,85140,G,Adductors,Pre,12,O,396,215,957.13
5085355,85355,G,Adductors,Pre,12,O,397,215,826.033
5085570,85570,G,Adductors,Pre,12,O,398,215,827.287
5085785,85785,G,Adductors,Pre,12,O,399,215,928.008
5082944,82944,G,Adductors,Pre,12,O,384,216,2149.847
5083160,83160,G,Adductors,Pre,12,O,385,216,1938.418
5083376,83376,G,Adductors,Pre,12,O,386,216,1490.482
5083592,83592,G,Adductors,Pre,12,O,387,216,1092.28
5083808,83808,G,Adductors,Pre,12,O,388,216,884.866
5084024,84024,G,Adductors,Pre,12,O,389,216,854.339
5084240,84240,G,Adductors,Pre,12,O,390,216,945.942
5084456,84456,G,Adductors,Pre,12,O,391,216,1137.812
5084672,84672,G,Adductors,Pre,12,O,392,216,1432.79
5084888,84888,G,Adductors,Pre,12,O,393,216,1741.669
5085104,85104,G,Adductors,Pre,12,O,394,216,1812.139
5085320,85320,G,Adductors,Pre,12,O,395,216,1480.937
5085536,85536,G,Adductors,Pre,12,O,396,216,1064.172
5085752,85752,G,Adductors,Pre,12,O,397,216,835.859
5085968,85968,G,Adductors,Pre,12,O,398,216,775.119
5086184,86184,G,Adductors,Pre,12,O,399,216,832.956
5083111,83111,G,Adductors,Pre,12,O,383,217,2225.876
5083328,83328,G,Adductors,Pre,12,O,384,217,2263.06
5083545,83545,G,Adductors,Pre,12,O,385,217,1900.698
5083762,83762,G,Adductors,Pre,12,O,386,217,1386.593
5083979,83979,G,Adductors,Pre,12,O,387,217,1010.51
5084196,84196,G,Adductors,Pre,12,O,388,217,852.311
5084413,84413,G,Adductors,Pre,12,O,389,217,873.566
5084630,84630,G,Adductors,Pre,12,O,390,217,987.346
5084847,84847,G,Adductors,Pre,12,O,391,217,1155.538
5085064,85064,G,Adductors,Pre,12,O,392,217,1365.015
5085281,85281,G,Adductors,Pre,12,O,393,217,1740.175
5085498,85498,G,Adductors,Pre,12,O,394,217,1906.729
5085715,85715,G,Adductors,Pre,12,O,395,217,1627.277
5085932,85932,G,Adductors,Pre,12,O,396,217,1161.553
5086149,86149,G,Adductors,Pre,12,O,397,217,865.623
5086366,86366,G,Adductors,Pre,12,O,398,217,770.959
5086583,86583,G,Adductors,Pre,12,O,399,217,797.711
5083276,83276,G,Adductors,Pre,12,O,382,218,2034.679
5083494,83494,G,Adductors,Pre,12,O,383,218,2353.6
5083712,83712,G,Adductors,Pre,12,O,384,218,2322.693
5083930,83930,G,Adductors,Pre,12,O,385,218,1871.13
5084148,84148,G,Adductors,Pre,12,O,386,218,1329.444
5084366,84366,G,Adductors,Pre,12,O,387,218,976.131
5084584,84584,G,Adductors,Pre,12,O,388,218,879.189
5084802,84802,G,Adductors,Pre,12,O,389,218,939.803
5085020,85020,G,Adductors,Pre,12,O,390,218,1031.857
5085238,85238,G,Adductors,Pre,12,O,391,218,1130.925
5085456,85456,G,Adductors,Pre,12,O,392,218,1243.343
5085674,85674,G,Adductors,Pre,12,O,393,218,1586.013
5085892,85892,G,Adductors,Pre,12,O,394,218,1851.102
5086110,86110,G,Adductors,Pre,12,O,395,218,1691.636
5086328,86328,G,Adductors,Pre,12,O,396,218,1232.003
5086546,86546,G,Adductors,Pre,12,O,397,218,889.719
5086764,86764,G,Adductors,Pre,12,O,398,218,800.375
5086982,86982,G,Adductors,Pre,12,O,399,218,825.496
5087200,87200,G,Adductors,Pre,12,O,400,218,878.066
5083658,83658,G,Adductors,Pre,12,O,382,219,2115.016
5083877,83877,G,Adductors,Pre,12,O,383,219,2418.302
5084096,84096,G,Adductors,Pre,12,O,384,219,2379.496
5084315,84315,G,Adductors,Pre,12,O,385,219,1909.51
5084534,84534,G,Adductors,Pre,12,O,386,219,1337.691
5084753,84753,G,Adductors,Pre,12,O,387,219,1012.724
5084972,84972,G,Adductors,Pre,12,O,388,219,948.246
5085191,85191,G,Adductors,Pre,12,O,389,219,1010.118
5085410,85410,G,Adductors,Pre,12,O,390,219,1070.739
5085629,85629,G,Adductors,Pre,12,O,391,219,1085.351
5085848,85848,G,Adductors,Pre,12,O,392,219,1101.14
5086067,86067,G,Adductors,Pre,12,O,393,219,1359.627
5086286,86286,G,Adductors,Pre,12,O,394,219,1678.807
5086505,86505,G,Adductors,Pre,12,O,395,219,1669.981
5086724,86724,G,Adductors,Pre,12,O,396,219,1289.23
5086943,86943,G,Adductors,Pre,12,O,397,219,956.775
5087162,87162,G,Adductors,Pre,12,O,398,219,865.4
5087381,87381,G,Adductors,Pre,12,O,399,219,904.208
5087600,87600,G,Adductors,Pre,12,O,400,219,957.202
5083820,83820,G,Adductors,Pre,12,O,381,220,1706.948
5084040,84040,G,Adductors,Pre,12,O,382,220,2169.45
5084260,84260,G,Adductors,Pre,12,O,383,220,2479.582
5084480,84480,G,Adductors,Pre,12,O,384,220,2433.097
5084700,84700,G,Adductors,Pre,12,O,385,220,1968.651
5084920,84920,G,Adductors,Pre,12,O,386,220,1403.062
5085140,85140,G,Adductors,Pre,12,O,387,220,1068.328
5085360,85360,G,Adductors,Pre,12,O,388,220,1003.948
5085580,85580,G,Adductors,Pre,12,O,389,220,1068.643
5085800,85800,G,Adductors,Pre,12,O,390,220,1097.493
5086020,86020,G,Adductors,Pre,12,O,391,220,1056.711
5086240,86240,G,Adductors,Pre,12,O,392,220,998.953
5086460,86460,G,Adductors,Pre,12,O,393,220,1135.551
5086680,86680,G,Adductors,Pre,12,O,394,220,1435.863
5086900,86900,G,Adductors,Pre,12,O,395,220,1551.09
5087120,87120,G,Adductors,Pre,12,O,396,220,1324.064
5087340,87340,G,Adductors,Pre,12,O,397,220,1037.564
5087560,87560,G,Adductors,Pre,12,O,398,220,956.817
5087780,87780,G,Adductors,Pre,12,O,399,220,1025.759
5088000,88000,G,Adductors,Pre,12,O,400,220,1077.653
5088220,88220,G,Adductors,Pre,12,O,401,220,1127.458
5083980,83980,G,Adductors,Pre,12,O,380,221,1460.424
5084201,84201,G,Adductors,Pre,12,O,381,221,1839.231
5084422,84422,G,Adductors,Pre,12,O,382,221,2213.887
5084643,84643,G,Adductors,Pre,12,O,383,221,2367.935
5084864,84864,G,Adductors,Pre,12,O,384,221,2250.97
5085085,85085,G,Adductors,Pre,12,O,385,221,1849.044
5085306,85306,G,Adductors,Pre,12,O,386,221,1374.545
5085527,85527,G,Adductors,Pre,12,O,387,221,1083.164
5085748,85748,G,Adductors,Pre,12,O,388,221,1044.783
5085969,85969,G,Adductors,Pre,12,O,389,221,1112.095
5086190,86190,G,Adductors,Pre,12,O,390,221,1136.718
5086411,86411,G,Adductors,Pre,12,O,391,221,1089.156
5086632,86632,G,Adductors,Pre,12,O,392,221,968.007
5086853,86853,G,Adductors,Pre,12,O,393,221,988.963
5087074,87074,G,Adductors,Pre,12,O,394,221,1209.724
5087295,87295,G,Adductors,Pre,12,O,395,221,1402.781
5087516,87516,G,Adductors,Pre,12,O,396,221,1331.755
5087737,87737,G,Adductors,Pre,12,O,397,221,1125.982
5087958,87958,G,Adductors,Pre,12,O,398,221,1074.76
