pix_id,XY,musc_id,grp_id,cond_id,subj_id,injury_id,X,Y,Value
3068440,68440,BLH,Hamstrings,Pre,17,NO,236,290,1798.536
3068730,68730,BLH,Hamstrings,Pre,17,NO,237,290,1760.785
3069020,69020,BLH,Hamstrings,Pre,17,NO,238,290,1716.255
3069310,69310,BLH,Hamstrings,Pre,17,NO,239,290,1671.458
3067221,67221,BLH,Hamstrings,Pre,17,NO,231,291,1929.567
3067512,67512,BLH,Hamstrings,Pre,17,NO,232,291,1879.727
3067803,67803,BLH,Hamstrings,Pre,17,NO,233,291,1831.082
3068094,68094,BLH,Hamstrings,Pre,17,NO,234,291,1786.206
3068385,68385,BLH,Hamstrings,Pre,17,NO,235,291,1752.901
3068676,68676,BLH,Hamstrings,Pre,17,NO,236,291,1719.011
3068967,68967,BLH,Hamstrings,Pre,17,NO,237,291,1686.157
3069258,69258,BLH,Hamstrings,Pre,17,NO,238,291,1658.174
3069549,69549,BLH,Hamstrings,Pre,17,NO,239,291,1616.838
3069840,69840,BLH,Hamstrings,Pre,17,NO,240,291,1512.003
3070131,70131,BLH,Hamstrings,Pre,17,NO,241,291,1527.172
3070422,70422,BLH,Hamstrings,Pre,17,NO,242,291,1506.414
3066284,66284,BLH,Hamstrings,Pre,17,NO,227,292,1933.189
3066576,66576,BLH,Hamstrings,Pre,17,NO,228,292,1881.198
3066868,66868,BLH,Hamstrings,Pre,17,NO,229,292,1820.79
3067160,67160,BLH,Hamstrings,Pre,17,NO,230,292,1764.724
3067452,67452,BLH,Hamstrings,Pre,17,NO,231,292,1718.369
3067744,67744,BLH,Hamstrings,Pre,17,NO,232,292,1681.847
3068036,68036,BLH,Hamstrings,Pre,17,NO,233,292,1654.215
3068328,68328,BLH,Hamstrings,Pre,17,NO,234,292,1640.372
3068620,68620,BLH,Hamstrings,Pre,17,NO,235,292,1623.411
3068912,68912,BLH,Hamstrings,Pre,17,NO,236,292,1613.376
3069204,69204,BLH,Hamstrings,Pre,17,NO,237,292,1593.678
3069496,69496,BLH,Hamstrings,Pre,17,NO,238,292,1562.548
3069788,69788,BLH,Hamstrings,Pre,17,NO,239,292,1528.034
3070080,70080,BLH,Hamstrings,Pre,17,NO,240,292,1291.012
3070372,70372,BLH,Hamstrings,Pre,17,NO,241,292,1298.309
3070664,70664,BLH,Hamstrings,Pre,17,NO,242,292,1306.105
3070956,70956,BLH,Hamstrings,Pre,17,NO,243,292,1270.442
3071248,71248,BLH,Hamstrings,Pre,17,NO,244,292,1376.711
3065632,65632,BLH,Hamstrings,Pre,17,NO,224,293,1856.29
3065925,65925,BLH,Hamstrings,Pre,17,NO,225,293,1808.77
3066218,66218,BLH,Hamstrings,Pre,17,NO,226,293,1745.496
3066511,66511,BLH,Hamstrings,Pre,17,NO,227,293,1681.72
3066804,66804,BLH,Hamstrings,Pre,17,NO,228,293,1627.16
3067097,67097,BLH,Hamstrings,Pre,17,NO,229,293,1575.834
3067390,67390,BLH,Hamstrings,Pre,17,NO,230,293,1542.744
3067683,67683,BLH,Hamstrings,Pre,17,NO,231,293,1525.231
3067976,67976,BLH,Hamstrings,Pre,17,NO,232,293,1512.075
3068269,68269,BLH,Hamstrings,Pre,17,NO,233,293,1513.452
3068562,68562,BLH,Hamstrings,Pre,17,NO,234,293,1514.508
3068855,68855,BLH,Hamstrings,Pre,17,NO,235,293,1509.831
3069148,69148,BLH,Hamstrings,Pre,17,NO,236,293,1495.792
3069441,69441,BLH,Hamstrings,Pre,17,NO,237,293,1472.874
3069734,69734,BLH,Hamstrings,Pre,17,NO,238,293,1434.034
3070027,70027,BLH,Hamstrings,Pre,17,NO,239,293,1386.507
3070320,70320,BLH,Hamstrings,Pre,17,NO,240,293,1321.212
