pix_id,XY,musc_id,grp_id,cond_id,subj_id,injury_id,X,Y,Value
11015648,15648,VL,Quadriceps,Pre,2,O,163,96,1451.883
11015744,15744,VL,Quadriceps,Pre,2,O,164,96,1351.296
11015840,15840,VL,Quadriceps,Pre,2,O,165,96,1330.28
11015936,15936,VL,Quadriceps,Pre,2,O,166,96,1382.269
11015326,15326,VL,Quadriceps,Pre,2,O,158,97,1620.68
11015423,15423,VL,Quadriceps,Pre,2,O,159,97,1570.156
11015520,15520,VL,Quadriceps,Pre,2,O,160,97,1509.885
11015617,15617,VL,Quadriceps,Pre,2,O,161,97,1457.302
11015714,15714,VL,Quadriceps,Pre,2,O,162,97,1413.842
11015811,15811,VL,Quadriceps,Pre,2,O,163,97,1389.421
11015908,15908,VL,Quadriceps,Pre,2,O,164,97,1357.211
11016005,16005,VL,Quadriceps,Pre,2,O,165,97,1377.652
11016102,16102,VL,Quadriceps,Pre,2,O,166,97,1423.742
11016199,16199,VL,Quadriceps,Pre,2,O,167,97,1464.153
11015092,15092,VL,Quadriceps,Pre,2,O,154,98,1612.445
11015190,15190,VL,Quadriceps,Pre,2,O,155,98,1605.428
11015288,15288,VL,Quadriceps,Pre,2,O,156,98,1588.737
11015386,15386,VL,Quadriceps,Pre,2,O,157,98,1567.109
11015484,15484,VL,Quadriceps,Pre,2,O,158,98,1539.777
11015582,15582,VL,Quadriceps,Pre,2,O,159,98,1506.469
11015680,15680,VL,Quadriceps,Pre,2,O,160,98,1470.176
11015778,15778,VL,Quadriceps,Pre,2,O,161,98,1442.398
11015876,15876,VL,Quadriceps,Pre,2,O,162,98,1422.414
11015974,15974,VL,Quadriceps,Pre,2,O,163,98,1410.343
11016072,16072,VL,Quadriceps,Pre,2,O,164,98,1421.969
11016170,16170,VL,Quadriceps,Pre,2,O,165,98,1445.84
11016268,16268,VL,Quadriceps,Pre,2,O,166,98,1467.408
11016366,16366,VL,Quadriceps,Pre,2,O,167,98,1492.521
11016464,16464,VL,Quadriceps,Pre,2,O,168,98,1524.574
11016562,16562,VL,Quadriceps,Pre,2,O,169,98,1533.519
11015147,15147,VL,Quadriceps,Pre,2,O,153,99,1570.875
11015246,15246,VL,Quadriceps,Pre,2,O,154,99,1553.284
11015345,15345,VL,Quadriceps,Pre,2,O,155,99,1532.677
11015444,15444,VL,Quadriceps,Pre,2,O,156,99,1515.651
11015543,15543,VL,Quadriceps,Pre,2,O,157,99,1510.841
11015642,15642,VL,Quadriceps,Pre,2,O,158,99,1508.636
11015741,15741,VL,Quadriceps,Pre,2,O,159,99,1504.237
11015840,15840,VL,Quadriceps,Pre,2,O,160,99,1497.417
11015939,15939,VL,Quadriceps,Pre,2,O,161,99,1492.569
11016038,16038,VL,Quadriceps,Pre,2,O,162,99,1479.39
11016137,16137,VL,Quadriceps,Pre,2,O,163,99,1486.928
11016236,16236,VL,Quadriceps,Pre,2,O,164,99,1495.017
11016335,16335,VL,Quadriceps,Pre,2,O,165,99,1502.463
11016434,16434,VL,Quadriceps,Pre,2,O,166,99,1520.276
11016533,16533,VL,Quadriceps,Pre,2,O,167,99,1570.358
11016632,16632,VL,Quadriceps,Pre,2,O,168,99,1638.057
11016731,16731,VL,Quadriceps,Pre,2,O,169,99,1671.545
11016830,16830,VL,Quadriceps,Pre,2,O,170,99,1706.614
11015200,15200,VL,Quadriceps,Pre,2,O,152,100,1546.973
11015300,15300,VL,Quadriceps,Pre,2,O,153,100,1527.776
11015400,15400,VL,Quadriceps,Pre,2,O,154,100,1502.99
11015500,15500,VL,Quadriceps,Pre,2,O,155,100,1485.635
11015600,15600,VL,Quadriceps,Pre,2,O,156,100,1485.582
11015700,15700,VL,Quadriceps,Pre,2,O,157,100,1508.71
11015800,15800,VL,Quadriceps,Pre,2,O,158,100,1535.114
11015900,15900,VL,Quadriceps,Pre,2,O,159,100,1554.968
11016000,16000,VL,Quadriceps,Pre,2,O,160,100,1565.683
11016100,16100,VL,Quadriceps,Pre,2,O,161,100,1568.015
11016200,16200,VL,Quadriceps,Pre,2,O,162,100,1559.381
11016300,16300,VL,Quadriceps,Pre,2,O,163,100,1556.42
11016400,16400,VL,Quadriceps,Pre,2,O,164,100,1555.142
11016500,16500,VL,Quadriceps,Pre,2,O,165,100,1573.286
11016600,16600,VL,Quadriceps,Pre,2,O,166,100,1635.604
11016700,16700,VL,Quadriceps,Pre,2,O,167,100,1734.485
11016800,16800,VL,Quadriceps,Pre,2,O,168,100,1831.515
11016900,16900,VL,Quadriceps,Pre,2,O,169,100,1872.371
11017000,17000,VL,Quadriceps,Pre,2,O,170,100,1904.297
11017100,17100,VL,Quadriceps,Pre,2,O,171,100,1962.708
11017200,17200,VL,Quadriceps,Pre,2,O,172,100,2120.623
11015251,15251,VL,Quadriceps,Pre,2,O,151,101,1520.142
11015352,15352,VL,Quadriceps,Pre,2,O,152,101,1512.905
11015453,15453,VL,Quadriceps,Pre,2,O,153,101,1495.43
11015554,15554,VL,Quadriceps,Pre,2,O,154,101,1482.122
11015655,15655,VL,Quadriceps,Pre,2,O,155,101,1486.313
11015756,15756,VL,Quadriceps,Pre,2,O,156,101,1515.626
11015857,15857,VL,Quadriceps,Pre,2,O,157,101,1563.453
11015958,15958,VL,Quadriceps,Pre,2,O,158,101,1604.207
11016059,16059,VL,Quadriceps,Pre,2,O,159,101,1628.722
11016160,16160,VL,Quadriceps,Pre,2,O,160,101,1636.843
11016261,16261,VL,Quadriceps,Pre,2,O,161,101,1627.463
11016362,16362,VL,Quadriceps,Pre,2,O,162,101,1617.66
11016463,16463,VL,Quadriceps,Pre,2,O,163,101,1612.7
11016564,16564,VL,Quadriceps,Pre,2,O,164,101,1636.327
11016665,16665,VL,Quadriceps,Pre,2,O,165,101,1716.503
11016766,16766,VL,Quadriceps,Pre,2,O,166,101,1840.506
11016867,16867,VL,Quadriceps,Pre,2,O,167,101,1978.138
11016968,16968,VL,Quadriceps,Pre,2,O,168,101,2043.775
11017069,17069,VL,Quadriceps,Pre,2,O,169,101,2090.364
11017170,17170,VL,Quadriceps,Pre,2,O,170,101,2081.501
11017271,17271,VL,Quadriceps,Pre,2,O,171,101,2106.786
11017372,17372,VL,Quadriceps,Pre,2,O,172,101,2209.666
11017473,17473,VL,Quadriceps,Pre,2,O,173,101,2341.604
11015198,15198,VL,Quadriceps,Pre,2,O,149,102,1451.102
11015300,15300,VL,Quadriceps,Pre,2,O,150,102,1486.982
11015402,15402,VL,Quadriceps,Pre,2,O,151,102,1496.136
11015504,15504,VL,Quadriceps,Pre,2,O,152,102,1492.777
11015606,15606,VL,Quadriceps,Pre,2,O,153,102,1493.527
11015708,15708,VL,Quadriceps,Pre,2,O,154,102,1511.963
11015810,15810,VL,Quadriceps,Pre,2,O,155,102,1549.867
11015912,15912,VL,Quadriceps,Pre,2,O,156,102,1600.766
11016014,16014,VL,Quadriceps,Pre,2,O,157,102,1651.004
11016116,16116,VL,Quadriceps,Pre,2,O,158,102,1680.747
11016218,16218,VL,Quadriceps,Pre,2,O,159,102,1688.851
11016320,16320,VL,Quadriceps,Pre,2,O,160,102,1682.302
11016422,16422,VL,Quadriceps,Pre,2,O,161,102,1669.967
11016524,16524,VL,Quadriceps,Pre,2,O,162,102,1666.077
11016626,16626,VL,Quadriceps,Pre,2,O,163,102,1704.338
11016728,16728,VL,Quadriceps,Pre,2,O,164,102,1799.948
11016830,16830,VL,Quadriceps,Pre,2,O,165,102,1940.856
11016932,16932,VL,Quadriceps,Pre,2,O,166,102,2104.246
11017034,17034,VL,Quadriceps,Pre,2,O,167,102,2236.152
11017136,17136,VL,Quadriceps,Pre,2,O,168,102,2278.704
11017238,17238,VL,Quadriceps,Pre,2,O,169,102,2251.005
11017340,17340,VL,Quadriceps,Pre,2,O,170,102,2186.89
11017442,17442,VL,Quadriceps,Pre,2,O,171,102,2157.512
11017544,17544,VL,Quadriceps,Pre,2,O,172,102,2179.588
11017646,17646,VL,Quadriceps,Pre,2,O,173,102,2200.811
11017748,17748,VL,Quadriceps,Pre,2,O,174,102,2127.763
11017850,17850,VL,Quadriceps,Pre,2,O,175,102,1917.376
11015244,15244,VL,Quadriceps,Pre,2,O,148,103,1401.83
11015347,15347,VL,Quadriceps,Pre,2,O,149,103,1460.759
11015450,15450,VL,Quadriceps,Pre,2,O,150,103,1487.082
11015553,15553,VL,Quadriceps,Pre,2,O,151,103,1494.024
11015656,15656,VL,Quadriceps,Pre,2,O,152,103,1509.055
11015759,15759,VL,Quadriceps,Pre,2,O,153,103,1545.131
11015862,15862,VL,Quadriceps,Pre,2,O,154,103,1598.708
11015965,15965,VL,Quadriceps,Pre,2,O,155,103,1657.713
11016068,16068,VL,Quadriceps,Pre,2,O,156,103,1708.736
11016171,16171,VL,Quadriceps,Pre,2,O,157,103,1735.442
11016274,16274,VL,Quadriceps,Pre,2,O,158,103,1734.869
11016377,16377,VL,Quadriceps,Pre,2,O,159,103,1719.66
11016480,16480,VL,Quadriceps,Pre,2,O,160,103,1707.568
11016583,16583,VL,Quadriceps,Pre,2,O,161,103,1708.076
11016686,16686,VL,Quadriceps,Pre,2,O,162,103,1765.862
11016789,16789,VL,Quadriceps,Pre,2,O,163,103,1877.03
11016892,16892,VL,Quadriceps,Pre,2,O,164,103,2027.319
11016995,16995,VL,Quadriceps,Pre,2,O,165,103,2191.023
11017098,17098,VL,Quadriceps,Pre,2,O,166,103,2330.403
11017201,17201,VL,Quadriceps,Pre,2,O,167,103,2403.135
11017304,17304,VL,Quadriceps,Pre,2,O,168,103,2390.081
11017407,17407,VL,Quadriceps,Pre,2,O,169,103,2300.794
11017510,17510,VL,Quadriceps,Pre,2,O,170,103,2195.509
11017613,17613,VL,Quadriceps,Pre,2,O,171,103,2123.012
11017716,17716,VL,Quadriceps,Pre,2,O,172,103,2075.097
