pix_id,XY,musc_id,grp_id,cond_id,subj_id,injury_id,X,Y,Value
2076680,76680,AM,Adductors,Pre,3,NO,360,213,1566.76
2076893,76893,AM,Adductors,Pre,3,NO,361,213,1462.781
2077106,77106,AM,Adductors,Pre,3,NO,362,213,1295.69
2077319,77319,AM,Adductors,Pre,3,NO,363,213,1120.3
2077532,77532,AM,Adductors,Pre,3,NO,364,213,990.71
2077745,77745,AM,Adductors,Pre,3,NO,365,213,935.691
2077958,77958,AM,Adductors,Pre,3,NO,366,213,952.797
2078171,78171,AM,Adductors,Pre,3,NO,367,213,1017.608
2078384,78384,AM,Adductors,Pre,3,NO,368,213,1098.34
2076826,76826,AM,Adductors,Pre,3,NO,359,214,1473.533
2077040,77040,AM,Adductors,Pre,3,NO,360,214,1484.185
2077254,77254,AM,Adductors,Pre,3,NO,361,214,1417.545
2077468,77468,AM,Adductors,Pre,3,NO,362,214,1283.384
2077682,77682,AM,Adductors,Pre,3,NO,363,214,1126.631
2077896,77896,AM,Adductors,Pre,3,NO,364,214,999.784
2078110,78110,AM,Adductors,Pre,3,NO,365,214,936.503
2078324,78324,AM,Adductors,Pre,3,NO,366,214,941.428
2078538,78538,AM,Adductors,Pre,3,NO,367,214,995.861
2078752,78752,AM,Adductors,Pre,3,NO,368,214,1070.92
2078966,78966,AM,Adductors,Pre,3,NO,369,214,1141.313
2079180,79180,AM,Adductors,Pre,3,NO,370,214,1194.995
2079394,79394,AM,Adductors,Pre,3,NO,371,214,1234.469
2076755,76755,AM,Adductors,Pre,3,NO,357,215,1242.969
2076970,76970,AM,Adductors,Pre,3,NO,358,215,1279.691
2077185,77185,AM,Adductors,Pre,3,NO,359,215,1334.021
2077400,77400,AM,Adductors,Pre,3,NO,360,215,1362.87
2077615,77615,AM,Adductors,Pre,3,NO,361,215,1329.564
2077830,77830,AM,Adductors,Pre,3,NO,362,215,1231.237
2078045,78045,AM,Adductors,Pre,3,NO,363,215,1100.541
2078260,78260,AM,Adductors,Pre,3,NO,364,215,984.004
2078475,78475,AM,Adductors,Pre,3,NO,365,215,916.694
2078690,78690,AM,Adductors,Pre,3,NO,366,215,909.418
2078905,78905,AM,Adductors,Pre,3,NO,367,215,950.808
2079120,79120,AM,Adductors,Pre,3,NO,368,215,1017.648
2079335,79335,AM,Adductors,Pre,3,NO,369,215,1086.968
2079550,79550,AM,Adductors,Pre,3,NO,370,215,1145.387
2079765,79765,AM,Adductors,Pre,3,NO,371,215,1192.017
2076680,76680,AM,Adductors,Pre,3,NO,355,216,1194.032
2076896,76896,AM,Adductors,Pre,3,NO,356,216,1144.859
2077112,77112,AM,Adductors,Pre,3,NO,357,216,1126.379
2077328,77328,AM,Adductors,Pre,3,NO,358,216,1146.609
2077544,77544,AM,Adductors,Pre,3,NO,359,216,1192.311
2077760,77760,AM,Adductors,Pre,3,NO,360,216,1228.018
2077976,77976,AM,Adductors,Pre,3,NO,361,216,1217.597
2078192,78192,AM,Adductors,Pre,3,NO,362,216,1150.102
2078408,78408,AM,Adductors,Pre,3,NO,363,216,1046.568
2078624,78624,AM,Adductors,Pre,3,NO,364,216,944.907
2078840,78840,AM,Adductors,Pre,3,NO,365,216,878.068
2079056,79056,AM,Adductors,Pre,3,NO,366,216,860.825
2079272,79272,AM,Adductors,Pre,3,NO,367,216,889.106
2079488,79488,AM,Adductors,Pre,3,NO,368,216,946.829
2079704,79704,AM,Adductors,Pre,3,NO,369,216,1014.887
2079920,79920,AM,Adductors,Pre,3,NO,370,216,1079.194
2080136,80136,AM,Adductors,Pre,3,NO,371,216,1135.013
2076601,76601,AM,Adductors,Pre,3,NO,353,217,1270.198
2076818,76818,AM,Adductors,Pre,3,NO,354,217,1184.049
2077035,77035,AM,Adductors,Pre,3,NO,355,217,1108.816
2077252,77252,AM,Adductors,Pre,3,NO,356,217,1054.47
2077469,77469,AM,Adductors,Pre,3,NO,357,217,1029.942
2077686,77686,AM,Adductors,Pre,3,NO,358,217,1040.123
2077903,77903,AM,Adductors,Pre,3,NO,359,217,1075.593
2078120,78120,AM,Adductors,Pre,3,NO,360,217,1108.919
2078337,78337,AM,Adductors,Pre,3,NO,361,217,1108.842
2078554,78554,AM,Adductors,Pre,3,NO,362,217,1061.591
2078771,78771,AM,Adductors,Pre,3,NO,363,217,979.642
2078988,78988,AM,Adductors,Pre,3,NO,364,217,892.213
2079205,79205,AM,Adductors,Pre,3,NO,365,217,828.061
2079422,79422,AM,Adductors,Pre,3,NO,366,217,803.698
2079639,79639,AM,Adductors,Pre,3,NO,367,217,821.134
2079856,79856,AM,Adductors,Pre,3,NO,368,217,871.27
2080073,80073,AM,Adductors,Pre,3,NO,369,217,939.209
2080290,80290,AM,Adductors,Pre,3,NO,370,217,1010.497
2080507,80507,AM,Adductors,Pre,3,NO,371,217,1076.612
2076518,76518,AM,Adductors,Pre,3,NO,351,218,1398.699
2076736,76736,AM,Adductors,Pre,3,NO,352,218,1309.405
2076954,76954,AM,Adductors,Pre,3,NO,353,218,1205.992
2077172,77172,AM,Adductors,Pre,3,NO,354,218,1109.384
2077390,77390,AM,Adductors,Pre,3,NO,355,218,1033.468
2077608,77608,AM,Adductors,Pre,3,NO,356,218,984.191
2077826,77826,AM,Adductors,Pre,3,NO,357,218,963.733
2078044,78044,AM,Adductors,Pre,3,NO,358,218,971.842
2078262,78262,AM,Adductors,Pre,3,NO,359,218,999.855
2078480,78480,AM,Adductors,Pre,3,NO,360,218,1026.6
2078698,78698,AM,Adductors,Pre,3,NO,361,218,1027.052
2078916,78916,AM,Adductors,Pre,3,NO,362,218,988.426
2079134,79134,AM,Adductors,Pre,3,NO,363,218,918.528
2079352,79352,AM,Adductors,Pre,3,NO,364,218,839.985
2079570,79570,AM,Adductors,Pre,3,NO,365,218,777.388
2079788,79788,AM,Adductors,Pre,3,NO,366,218,747.736
2080006,80006,AM,Adductors,Pre,3,NO,367,218,757.529
2080224,80224,AM,Adductors,Pre,3,NO,368,218,803.276
2080442,80442,AM,Adductors,Pre,3,NO,369,218,873.458
2080660,80660,AM,Adductors,Pre,3,NO,370,218,953.116
2080878,80878,AM,Adductors,Pre,3,NO,371,218,1030.207
2076431,76431,AM,Adductors,Pre,3,NO,349,219,1451.05
2076650,76650,AM,Adductors,Pre,3,NO,350,219,1428.783
2076869,76869,AM,Adductors,Pre,3,NO,351,219,1358.748
2077088,77088,AM,Adductors,Pre,3,NO,352,219,1255.616
2077307,77307,AM,Adductors,Pre,3,NO,353,219,1144.047
2077526,77526,AM,Adductors,Pre,3,NO,354,219,1047.069
2077745,77745,AM,Adductors,Pre,3,NO,355,219,977.885
2077964,77964,AM,Adductors,Pre,3,NO,356,219,939.2
2078183,78183,AM,Adductors,Pre,3,NO,357,219,928.286
2078402,78402,AM,Adductors,Pre,3,NO,358,219,940.481
2078621,78621,AM,Adductors,Pre,3,NO,359,219,966.153
2078840,78840,AM,Adductors,Pre,3,NO,360,219,987.453
2079059,79059,AM,Adductors,Pre,3,NO,361,219,984.124
2079278,79278,AM,Adductors,Pre,3,NO,362,219,945.649
2079497,79497,AM,Adductors,Pre,3,NO,363,219,878.274
2079716,79716,AM,Adductors,Pre,3,NO,364,219,801.117
2079935,79935,AM,Adductors,Pre,3,NO,365,219,736.331
2080154,80154,AM,Adductors,Pre,3,NO,366,219,701.448
2080373,80373,AM,Adductors,Pre,3,NO,367,219,706.159
2080592,80592,AM,Adductors,Pre,3,NO,368,219,750.734
2080811,80811,AM,Adductors,Pre,3,NO,369,219,825.644
2081030,81030,AM,Adductors,Pre,3,NO,370,219,915.045
2081249,81249,AM,Adductors,Pre,3,NO,371,219,1003.727
2076340,76340,AM,Adductors,Pre,3,NO,347,220,1349.143
2076560,76560,AM,Adductors,Pre,3,NO,348,220,1395.281
2076780,76780,AM,Adductors,Pre,3,NO,349,220,1412.063
2077000,77000,AM,Adductors,Pre,3,NO,350,220,1383.061
2077220,77220,AM,Adductors,Pre,3,NO,351,220,1307.917
2077440,77440,AM,Adductors,Pre,3,NO,352,220,1203.464
2077660,77660,AM,Adductors,Pre,3,NO,353,220,1095.116
2077880,77880,AM,Adductors,Pre,3,NO,354,220,1005.232
2078100,78100,AM,Adductors,Pre,3,NO,355,220,945.656
2078320,78320,AM,Adductors,Pre,3,NO,356,220,917.531
2078540,78540,AM,Adductors,Pre,3,NO,357,220,916.311
2078760,78760,AM,Adductors,Pre,3,NO,358,220,935.318
2078980,78980,AM,Adductors,Pre,3,NO,359,220,963.662
2079200,79200,AM,Adductors,Pre,3,NO,360,220,984.038
2079420,79420,AM,Adductors,Pre,3,NO,361,220,978.006
2079640,79640,AM,Adductors,Pre,3,NO,362,220,936.358
2079860,79860,AM,Adductors,Pre,3,NO,363,220,865.224
2080080,80080,AM,Adductors,Pre,3,NO,364,220,782.927
2080300,80300,AM,Adductors,Pre,3,NO,365,220,711.557
2080520,80520,AM,Adductors,Pre,3,NO,366,220,670.096
2080740,80740,AM,Adductors,Pre,3,NO,367,220,670.696
2080960,80960,AM,Adductors,Pre,3,NO,368,220,715.784
2081180,81180,AM,Adductors,Pre,3,NO,369,220,796.602
2081400,81400,AM,Adductors,Pre,3,NO,370,220,896.25
2081620,81620,AM,Adductors,Pre,3,NO,371,220,996.822
2076245,76245,AM,Adductors,Pre,3,NO,345,221,1226.653
2076466,76466,AM,Adductors,Pre,3,NO,346,221,1261.854
2076687,76687,AM,Adductors,Pre,3,NO,347,221,1307.301
2076908,76908,AM,Adductors,Pre,3,NO,348,221,1347.189
2077129,77129,AM,Adductors,Pre,3,NO,349,221,1360.074
2077350,77350,AM,Adductors,Pre,3,NO,350,221,1330.633
2077571,77571,AM,Adductors,Pre,3,NO,351,221,1259.444
2077792,77792,AM,Adductors,Pre,3,NO,352,221,1162.927
