pix_id,XY,musc_id,grp_id,cond_id,subj_id,injury_id,X,Y,Value
11026013,26013,VM,Quadriceps,Pre,4,O,299,87,1912.795
11026100,26100,VM,Quadriceps,Pre,4,O,300,87,1811.793
11026187,26187,VM,Quadriceps,Pre,4,O,301,87,1714.921
11026048,26048,VM,Quadriceps,Pre,4,O,296,88,2042.041
11026136,26136,VM,Quadriceps,Pre,4,O,297,88,2010.125
11026224,26224,VM,Quadriceps,Pre,4,O,298,88,1939.501
11026312,26312,VM,Quadriceps,Pre,4,O,299,88,1906.868
11026400,26400,VM,Quadriceps,Pre,4,O,300,88,1838.292
11026488,26488,VM,Quadriceps,Pre,4,O,301,88,1778.18
11026576,26576,VM,Quadriceps,Pre,4,O,302,88,1724.394
11026664,26664,VM,Quadriceps,Pre,4,O,303,88,1640.948
11026752,26752,VM,Quadriceps,Pre,4,O,304,88,1554.519
11026166,26166,VM,Quadriceps,Pre,4,O,294,89,1845.778
11026255,26255,VM,Quadriceps,Pre,4,O,295,89,1879.021
11026344,26344,VM,Quadriceps,Pre,4,O,296,89,1883.557
11026433,26433,VM,Quadriceps,Pre,4,O,297,89,1842.899
11026522,26522,VM,Quadriceps,Pre,4,O,298,89,1771.461
11026611,26611,VM,Quadriceps,Pre,4,O,299,89,1752.972
11026700,26700,VM,Quadriceps,Pre,4,O,300,89,1728.673
11026789,26789,VM,Quadriceps,Pre,4,O,301,89,1711.468
11026878,26878,VM,Quadriceps,Pre,4,O,302,89,1697.506
11026967,26967,VM,Quadriceps,Pre,4,O,303,89,1660.042
11027056,27056,VM,Quadriceps,Pre,4,O,304,89,1624.406
11027145,27145,VM,Quadriceps,Pre,4,O,305,89,1587.756
11027234,27234,VM,Quadriceps,Pre,4,O,306,89,1521.462
11027323,27323,VM,Quadriceps,Pre,4,O,307,89,1440.877
11026370,26370,VM,Quadriceps,Pre,4,O,293,90,1751.432
11026460,26460,VM,Quadriceps,Pre,4,O,294,90,1721.026
11026550,26550,VM,Quadriceps,Pre,4,O,295,90,1695.835
11026640,26640,VM,Quadriceps,Pre,4,O,296,90,1667.118
11026730,26730,VM,Quadriceps,Pre,4,O,297,90,1630.532
11026820,26820,VM,Quadriceps,Pre,4,O,298,90,1582.316
11026910,26910,VM,Quadriceps,Pre,4,O,299,90,1573.762
11027000,27000,VM,Quadriceps,Pre,4,O,300,90,1555.653
11027090,27090,VM,Quadriceps,Pre,4,O,301,90,1554.438
11027180,27180,VM,Quadriceps,Pre,4,O,302,90,1556.938
11027270,27270,VM,Quadriceps,Pre,4,O,303,90,1567.21
11027360,27360,VM,Quadriceps,Pre,4,O,304,90,1581.085
11027450,27450,VM,Quadriceps,Pre,4,O,305,90,1596.868
11027540,27540,VM,Quadriceps,Pre,4,O,306,90,1575.227
11027630,27630,VM,Quadriceps,Pre,4,O,307,90,1544.878
11027720,27720,VM,Quadriceps,Pre,4,O,308,90,1507.769
11027810,27810,VM,Quadriceps,Pre,4,O,309,90,1439.678
11026663,26663,VM,Quadriceps,Pre,4,O,293,91,1658.715
11026754,26754,VM,Quadriceps,Pre,4,O,294,91,1591.782
11026845,26845,VM,Quadriceps,Pre,4,O,295,91,1535.562
11026936,26936,VM,Quadriceps,Pre,4,O,296,91,1498.208
11027027,27027,VM,Quadriceps,Pre,4,O,297,91,1475.662
11027118,27118,VM,Quadriceps,Pre,4,O,298,91,1466.742
11027209,27209,VM,Quadriceps,Pre,4,O,299,91,1469.369
11027300,27300,VM,Quadriceps,Pre,4,O,300,91,1448.308
11027391,27391,VM,Quadriceps,Pre,4,O,301,91,1434.791
11027482,27482,VM,Quadriceps,Pre,4,O,302,91,1425.114
11027573,27573,VM,Quadriceps,Pre,4,O,303,91,1421.945
11027664,27664,VM,Quadriceps,Pre,4,O,304,91,1446.691
11027755,27755,VM,Quadriceps,Pre,4,O,305,91,1479.751
11027846,27846,VM,Quadriceps,Pre,4,O,306,91,1512.778
11027937,27937,VM,Quadriceps,Pre,4,O,307,91,1535.123
11028028,28028,VM,Quadriceps,Pre,4,O,308,91,1553.947
11028119,28119,VM,Quadriceps,Pre,4,O,309,91,1524.835
11028210,28210,VM,Quadriceps,Pre,4,O,310,91,1480.918
11028301,28301,VM,Quadriceps,Pre,4,O,311,91,1418.334
11026956,26956,VM,Quadriceps,Pre,4,O,293,92,1576.989
11027048,27048,VM,Quadriceps,Pre,4,O,294,92,1505.198
11027140,27140,VM,Quadriceps,Pre,4,O,295,92,1445.419
11027232,27232,VM,Quadriceps,Pre,4,O,296,92,1417.776
11027324,27324,VM,Quadriceps,Pre,4,O,297,92,1423.74
11027416,27416,VM,Quadriceps,Pre,4,O,298,92,1453.348
11027508,27508,VM,Quadriceps,Pre,4,O,299,92,1470.03
11027600,27600,VM,Quadriceps,Pre,4,O,300,92,1455.662
11027692,27692,VM,Quadriceps,Pre,4,O,301,92,1418.986
11027784,27784,VM,Quadriceps,Pre,4,O,302,92,1384.215
11027876,27876,VM,Quadriceps,Pre,4,O,303,92,1343.038
11027968,27968,VM,Quadriceps,Pre,4,O,304,92,1325.177
11028060,28060,VM,Quadriceps,Pre,4,O,305,92,1333.842
11028152,28152,VM,Quadriceps,Pre,4,O,306,92,1358.567
11028244,28244,VM,Quadriceps,Pre,4,O,307,92,1401.154
11028336,28336,VM,Quadriceps,Pre,4,O,308,92,1450.203
11028428,28428,VM,Quadriceps,Pre,4,O,309,92,1489.898
11028520,28520,VM,Quadriceps,Pre,4,O,310,92,1500.923
11028612,28612,VM,Quadriceps,Pre,4,O,311,92,1504.727
11028704,28704,VM,Quadriceps,Pre,4,O,312,92,1446.075
11028796,28796,VM,Quadriceps,Pre,4,O,313,92,1361.94
11027156,27156,VM,Quadriceps,Pre,4,O,292,93,1574.11
11027249,27249,VM,Quadriceps,Pre,4,O,293,93,1536.003
11027342,27342,VM,Quadriceps,Pre,4,O,294,93,1476.976
11027435,27435,VM,Quadriceps,Pre,4,O,295,93,1427.845
11027528,27528,VM,Quadriceps,Pre,4,O,296,93,1414.981
11027621,27621,VM,Quadriceps,Pre,4,O,297,93,1444.925
11027714,27714,VM,Quadriceps,Pre,4,O,298,93,1513.385
11027807,27807,VM,Quadriceps,Pre,4,O,299,93,1545.752
11027900,27900,VM,Quadriceps,Pre,4,O,300,93,1548.001
11027993,27993,VM,Quadriceps,Pre,4,O,301,93,1511.106
11028086,28086,VM,Quadriceps,Pre,4,O,302,93,1451.716
11028179,28179,VM,Quadriceps,Pre,4,O,303,93,1373.506
11028272,28272,VM,Quadriceps,Pre,4,O,304,93,1290.746
11028365,28365,VM,Quadriceps,Pre,4,O,305,93,1247.877
11028458,28458,VM,Quadriceps,Pre,4,O,306,93,1224.875
11028551,28551,VM,Quadriceps,Pre,4,O,307,93,1233.896
11028644,28644,VM,Quadriceps,Pre,4,O,308,93,1273.199
11028737,28737,VM,Quadriceps,Pre,4,O,309,93,1327.167
11028830,28830,VM,Quadriceps,Pre,4,O,310,93,1381.19
11028923,28923,VM,Quadriceps,Pre,4,O,311,93,1441.581
11029016,29016,VM,Quadriceps,Pre,4,O,312,93,1472.376
11029109,29109,VM,Quadriceps,Pre,4,O,313,93,1455.356
11029202,29202,VM,Quadriceps,Pre,4,O,314,93,1395.819
11029295,29295,VM,Quadriceps,Pre,4,O,315,93,1287.179
11027448,27448,VM,Quadriceps,Pre,4,O,292,94,1561.387
11027542,27542,VM,Quadriceps,Pre,4,O,293,94,1543.979
11027636,27636,VM,Quadriceps,Pre,4,O,294,94,1496.678
11027730,27730,VM,Quadriceps,Pre,4,O,295,94,1456.835
11027824,27824,VM,Quadriceps,Pre,4,O,296,94,1452.395
11027918,27918,VM,Quadriceps,Pre,4,O,297,94,1494.489
11028012,28012,VM,Quadriceps,Pre,4,O,298,94,1584.29
11028106,28106,VM,Quadriceps,Pre,4,O,299,94,1642.923
11028200,28200,VM,Quadriceps,Pre,4,O,300,94,1670.394
11028294,28294,VM,Quadriceps,Pre,4,O,301,94,1656.187
11028388,28388,VM,Quadriceps,Pre,4,O,302,94,1594.557
11028482,28482,VM,Quadriceps,Pre,4,O,303,94,1496.21
11028576,28576,VM,Quadriceps,Pre,4,O,304,94,1373.539
11028670,28670,VM,Quadriceps,Pre,4,O,305,94,1264.541
11028764,28764,VM,Quadriceps,Pre,4,O,306,94,1183.293
11028858,28858,VM,Quadriceps,Pre,4,O,307,94,1126.103
11028952,28952,VM,Quadriceps,Pre,4,O,308,94,1123.016
11029046,29046,VM,Quadriceps,Pre,4,O,309,94,1144.458
11029140,29140,VM,Quadriceps,Pre,4,O,310,94,1191.828
11029234,29234,VM,Quadriceps,Pre,4,O,311,94,1269.408
11029328,29328,VM,Quadriceps,Pre,4,O,312,94,1355.257
11029422,29422,VM,Quadriceps,Pre,4,O,313,94,1414.403
11029516,29516,VM,Quadriceps,Pre,4,O,314,94,1451.079
11029610,29610,VM,Quadriceps,Pre,4,O,315,94,1410.358
11029704,29704,VM,Quadriceps,Pre,4,O,316,94,1318.76
11027645,27645,VM,Quadriceps,Pre,4,O,291,95,1537.683
11027740,27740,VM,Quadriceps,Pre,4,O,292,95,1587.935
11027835,27835,VM,Quadriceps,Pre,4,O,293,95,1583.97
11027930,27930,VM,Quadriceps,Pre,4,O,294,95,1541.407
11028025,28025,VM,Quadriceps,Pre,4,O,295,95,1500.162
11028120,28120,VM,Quadriceps,Pre,4,O,296,95,1492.827
11028215,28215,VM,Quadriceps,Pre,4,O,297,95,1534.821
11028310,28310,VM,Quadriceps,Pre,4,O,298,95,1630.421
11028405,28405,VM,Quadriceps,Pre,4,O,299,95,1713.439
11028500,28500,VM,Quadriceps,Pre,4,O,300,95,1774.867
11028595,28595,VM,Quadriceps,Pre,4,O,301,95,1794.031
11028690,28690,VM,Quadriceps,Pre,4,O,302,95,1760.988
11028785,28785,VM,Quadriceps,Pre,4,O,303,95,1669.259
11028880,28880,VM,Quadriceps,Pre,4,O,304,95,1535.101
11028975,28975,VM,Quadriceps,Pre,4,O,305,95,1380.441
11029070,29070,VM,Quadriceps,Pre,4,O,306,95,1248.004
11029165,29165,VM,Quadriceps,Pre,4,O,307,95,1136.261
11029260,29260,VM,Quadriceps,Pre,4,O,308,95,1063.14
11029355,29355,VM,Quadriceps,Pre,4,O,309,95,1035.519
11029450,29450,VM,Quadriceps,Pre,4,O,310,95,1033.581
11029545,29545,VM,Quadriceps,Pre,4,O,311,95,1082.118
11029640,29640,VM,Quadriceps,Pre,4,O,312,95,1157.308
11029735,29735,VM,Quadriceps,Pre,4,O,313,95,1250.015
11029830,29830,VM,Quadriceps,Pre,4,O,314,95,1345.738
11029925,29925,VM,Quadriceps,Pre,4,O,315,95,1419.368
11030020,30020,VM,Quadriceps,Pre,4,O,316,95,1416.731
11030115,30115,VM,Quadriceps,Pre,4,O,317,95,1364.178
11030210,30210,VM,Quadriceps,Pre,4,O,318,95,1223.268
11027936,27936,VM,Quadriceps,Pre,4,O,291,96,1581.573
11028032,28032,VM,Quadriceps,Pre,4,O,292,96,1639.947
11028128,28128,VM,Quadriceps,Pre,4,O,293,96,1636.35
11028224,28224,VM,Quadriceps,Pre,4,O,294,96,1587.027
11028320,28320,VM,Quadriceps,Pre,4,O,295,96,1533.613
11028416,28416,VM,Quadriceps,Pre,4,O,296,96,1517.709
11028512,28512,VM,Quadriceps,Pre,4,O,297,96,1559.759
11028608,28608,VM,Quadriceps,Pre,4,O,298,96,1634.461
11028704,28704,VM,Quadriceps,Pre,4,O,299,96,1737.801
11028800,28800,VM,Quadriceps,Pre,4,O,300,96,1835.159
11028896,28896,VM,Quadriceps,Pre,4,O,301,96,1894.723
11028992,28992,VM,Quadriceps,Pre,4,O,302,96,1905.462
11029088,29088,VM,Quadriceps,Pre,4,O,303,96,1852.1
11029184,29184,VM,Quadriceps,Pre,4,O,304,96,1736.473
11029280,29280,VM,Quadriceps,Pre,4,O,305,96,1575.602
11029376,29376,VM,Quadriceps,Pre,4,O,306,96,1404.845
11029472,29472,VM,Quadriceps,Pre,4,O,307,96,1249.76
11029568,29568,VM,Quadriceps,Pre,4,O,308,96,1115.412
11029664,29664,VM,Quadriceps,Pre,4,O,309,96,1031.361
