pix_id,XY,musc_id,grp_id,cond_id,subj_id,injury_id,X,Y,Value
6014820,14820,RF,Quadriceps,Pre,6,O,228,65,1043.256
6014885,14885,RF,Quadriceps,Pre,6,O,229,65,1091.878
6014950,14950,RF,Quadriceps,Pre,6,O,230,65,1134.597
6015015,15015,RF,Quadriceps,Pre,6,O,231,65,1165.814
6015080,15080,RF,Quadriceps,Pre,6,O,232,65,1190.369
6015145,15145,RF,Quadriceps,Pre,6,O,233,65,1208.588
6015210,15210,RF,Quadriceps,Pre,6,O,234,65,1218.011
6015275,15275,RF,Quadriceps,Pre,6,O,235,65,1221.784
6015340,15340,RF,Quadriceps,Pre,6,O,236,65,1222.748
6015405,15405,RF,Quadriceps,Pre,6,O,237,65,1221.264
6015470,15470,RF,Quadriceps,Pre,6,O,238,65,1217.92
6015535,15535,RF,Quadriceps,Pre,6,O,239,65,1214.452
6015600,15600,RF,Quadriceps,Pre,6,O,240,65,1210.284
6015665,15665,RF,Quadriceps,Pre,6,O,241,65,1206.439
6015730,15730,RF,Quadriceps,Pre,6,O,242,65,1191.465
6015795,15795,RF,Quadriceps,Pre,6,O,243,65,1161.609
6015860,15860,RF,Quadriceps,Pre,6,O,244,65,1109.188
6014388,14388,RF,Quadriceps,Pre,6,O,218,66,855.459
6014454,14454,RF,Quadriceps,Pre,6,O,219,66,814.316
6014520,14520,RF,Quadriceps,Pre,6,O,220,66,799.946
6014586,14586,RF,Quadriceps,Pre,6,O,221,66,811.59
6014652,14652,RF,Quadriceps,Pre,6,O,222,66,840.28
6014718,14718,RF,Quadriceps,Pre,6,O,223,66,875.204
6014784,14784,RF,Quadriceps,Pre,6,O,224,66,910.546
6014850,14850,RF,Quadriceps,Pre,6,O,225,66,949.595
6014916,14916,RF,Quadriceps,Pre,6,O,226,66,1003.697
6014982,14982,RF,Quadriceps,Pre,6,O,227,66,1074.83
6015048,15048,RF,Quadriceps,Pre,6,O,228,66,1188.632
6015114,15114,RF,Quadriceps,Pre,6,O,229,66,1243.934
6015180,15180,RF,Quadriceps,Pre,6,O,230,66,1286.882
6015246,15246,RF,Quadriceps,Pre,6,O,231,66,1307.418
6015312,15312,RF,Quadriceps,Pre,6,O,232,66,1310.884
6015378,15378,RF,Quadriceps,Pre,6,O,233,66,1301.747
6015444,15444,RF,Quadriceps,Pre,6,O,234,66,1283.522
6015510,15510,RF,Quadriceps,Pre,6,O,235,66,1262.006
6015576,15576,RF,Quadriceps,Pre,6,O,236,66,1243.934
6015642,15642,RF,Quadriceps,Pre,6,O,237,66,1229.674
6015708,15708,RF,Quadriceps,Pre,6,O,238,66,1219.244
6015774,15774,RF,Quadriceps,Pre,6,O,239,66,1211.604
6015840,15840,RF,Quadriceps,Pre,6,O,240,66,1203.088
6015906,15906,RF,Quadriceps,Pre,6,O,241,66,1192.974
6015972,15972,RF,Quadriceps,Pre,6,O,242,66,1173.082
6016038,16038,RF,Quadriceps,Pre,6,O,243,66,1137.835
6016104,16104,RF,Quadriceps,Pre,6,O,244,66,1084.528
6016170,16170,RF,Quadriceps,Pre,6,O,245,66,1021.382
6016236,16236,RF,Quadriceps,Pre,6,O,246,66,958.694
6016302,16302,RF,Quadriceps,Pre,6,O,247,66,904.915
6016368,16368,RF,Quadriceps,Pre,6,O,248,66,865.05
6016434,16434,RF,Quadriceps,Pre,6,O,249,66,839.704
6016500,16500,RF,Quadriceps,Pre,6,O,250,66,825.371
6016566,16566,RF,Quadriceps,Pre,6,O,251,66,816.199
6016632,16632,RF,Quadriceps,Pre,6,O,252,66,804.699
6016698,16698,RF,Quadriceps,Pre,6,O,253,66,791.161
6016764,16764,RF,Quadriceps,Pre,6,O,254,66,777.084
6016830,16830,RF,Quadriceps,Pre,6,O,255,66,767.143
6016896,16896,RF,Quadriceps,Pre,6,O,256,66,762.16
6014405,14405,RF,Quadriceps,Pre,6,O,215,67,1047.778
6014472,14472,RF,Quadriceps,Pre,6,O,216,67,1007.95
6014539,14539,RF,Quadriceps,Pre,6,O,217,67,959.152
6014606,14606,RF,Quadriceps,Pre,6,O,218,67,915.04
6014673,14673,RF,Quadriceps,Pre,6,O,219,67,888.162
6014740,14740,RF,Quadriceps,Pre,6,O,220,67,883.949
6014807,14807,RF,Quadriceps,Pre,6,O,221,67,899.813
6014874,14874,RF,Quadriceps,Pre,6,O,222,67,928.322
6014941,14941,RF,Quadriceps,Pre,6,O,223,67,962.182
6015008,15008,RF,Quadriceps,Pre,6,O,224,67,998.659
6015075,15075,RF,Quadriceps,Pre,6,O,225,67,1041.469
6015142,15142,RF,Quadriceps,Pre,6,O,226,67,1098.5
6015209,15209,RF,Quadriceps,Pre,6,O,227,67,1175.551
6015276,15276,RF,Quadriceps,Pre,6,O,228,67,1269.451
6015343,15343,RF,Quadriceps,Pre,6,O,229,67,1366.792
6015410,15410,RF,Quadriceps,Pre,6,O,230,67,1415.026
6015477,15477,RF,Quadriceps,Pre,6,O,231,67,1443.195
6015544,15544,RF,Quadriceps,Pre,6,O,232,67,1450.415
6015611,15611,RF,Quadriceps,Pre,6,O,233,67,1437.718
6015678,15678,RF,Quadriceps,Pre,6,O,234,67,1408.053
6015745,15745,RF,Quadriceps,Pre,6,O,235,67,1374.35
6015812,15812,RF,Quadriceps,Pre,6,O,236,67,1342.706
6015879,15879,RF,Quadriceps,Pre,6,O,237,67,1249.835
6015946,15946,RF,Quadriceps,Pre,6,O,238,67,1240.829
6016013,16013,RF,Quadriceps,Pre,6,O,239,67,1235.128
6016080,16080,RF,Quadriceps,Pre,6,O,240,67,1223.924
6016147,16147,RF,Quadriceps,Pre,6,O,241,67,1201.909
6016214,16214,RF,Quadriceps,Pre,6,O,242,67,1166.156
6016281,16281,RF,Quadriceps,Pre,6,O,243,67,1117.506
6016348,16348,RF,Quadriceps,Pre,6,O,244,67,1061.57
6016415,16415,RF,Quadriceps,Pre,6,O,245,67,1008.365
6016482,16482,RF,Quadriceps,Pre,6,O,246,67,964.154
6016549,16549,RF,Quadriceps,Pre,6,O,247,67,931.825
6016616,16616,RF,Quadriceps,Pre,6,O,248,67,910.742
6016683,16683,RF,Quadriceps,Pre,6,O,249,67,897.202
6016750,16750,RF,Quadriceps,Pre,6,O,250,67,885.228
6016817,16817,RF,Quadriceps,Pre,6,O,251,67,868.616
6016884,16884,RF,Quadriceps,Pre,6,O,252,67,846.625
6016951,16951,RF,Quadriceps,Pre,6,O,253,67,822.295
6017018,17018,RF,Quadriceps,Pre,6,O,254,67,800.018
6017085,17085,RF,Quadriceps,Pre,6,O,255,67,784.519
6017152,17152,RF,Quadriceps,Pre,6,O,256,67,782.803
6017219,17219,RF,Quadriceps,Pre,6,O,257,67,791.15
6017286,17286,RF,Quadriceps,Pre,6,O,258,67,806.433
6017353,17353,RF,Quadriceps,Pre,6,O,259,67,826.597
6017420,17420,RF,Quadriceps,Pre,6,O,260,67,847.806
6017487,17487,RF,Quadriceps,Pre,6,O,261,67,864.867
6017554,17554,RF,Quadriceps,Pre,6,O,262,67,876.111
6017621,17621,RF,Quadriceps,Pre,6,O,263,67,880.082
6014348,14348,RF,Quadriceps,Pre,6,O,211,68,1380.216
6014416,14416,RF,Quadriceps,Pre,6,O,212,68,1327.315
6014484,14484,RF,Quadriceps,Pre,6,O,213,68,1270.139
6014552,14552,RF,Quadriceps,Pre,6,O,214,68,1215.752
6014620,14620,RF,Quadriceps,Pre,6,O,215,68,1168.438
6014688,14688,RF,Quadriceps,Pre,6,O,216,68,1124.374
6014756,14756,RF,Quadriceps,Pre,6,O,217,68,1081.869
6014824,14824,RF,Quadriceps,Pre,6,O,218,68,1017.606
6014892,14892,RF,Quadriceps,Pre,6,O,219,68,1009.939
6014960,14960,RF,Quadriceps,Pre,6,O,220,68,1017.295
6015028,15028,RF,Quadriceps,Pre,6,O,221,68,1035.231
6015096,15096,RF,Quadriceps,Pre,6,O,222,68,1057.857
6015164,15164,RF,Quadriceps,Pre,6,O,223,68,1081.421
6015232,15232,RF,Quadriceps,Pre,6,O,224,68,1107.104
6015300,15300,RF,Quadriceps,Pre,6,O,225,68,1141.125
6015368,15368,RF,Quadriceps,Pre,6,O,226,68,1190.959
6015436,15436,RF,Quadriceps,Pre,6,O,227,68,1260.529
6015504,15504,RF,Quadriceps,Pre,6,O,228,68,1345.581
6015572,15572,RF,Quadriceps,Pre,6,O,229,68,1440.557
6015640,15640,RF,Quadriceps,Pre,6,O,230,68,1494.308
6015708,15708,RF,Quadriceps,Pre,6,O,231,68,1532.428
6015776,15776,RF,Quadriceps,Pre,6,O,232,68,1551.173
6015844,15844,RF,Quadriceps,Pre,6,O,233,68,1546.337
6015912,15912,RF,Quadriceps,Pre,6,O,234,68,1525.616
6015980,15980,RF,Quadriceps,Pre,6,O,235,68,1499.55
6016048,16048,RF,Quadriceps,Pre,6,O,236,68,1472.151
6016116,16116,RF,Quadriceps,Pre,6,O,237,68,1446.238
6016184,16184,RF,Quadriceps,Pre,6,O,238,68,1418.97
6016252,16252,RF,Quadriceps,Pre,6,O,239,68,1381.201
6016320,16320,RF,Quadriceps,Pre,6,O,240,68,1331.043
6016388,16388,RF,Quadriceps,Pre,6,O,241,68,1269.432
6016456,16456,RF,Quadriceps,Pre,6,O,242,68,1198.748
6016524,16524,RF,Quadriceps,Pre,6,O,243,68,1124.148
6016592,16592,RF,Quadriceps,Pre,6,O,244,68,1053.137
6016660,16660,RF,Quadriceps,Pre,6,O,245,68,995.704
6016728,16728,RF,Quadriceps,Pre,6,O,246,68,957.662
6016796,16796,RF,Quadriceps,Pre,6,O,247,68,939.612
6016864,16864,RF,Quadriceps,Pre,6,O,248,68,936.707
6016932,16932,RF,Quadriceps,Pre,6,O,249,68,938.184
6017000,17000,RF,Quadriceps,Pre,6,O,250,68,932.519
6017068,17068,RF,Quadriceps,Pre,6,O,251,68,915.669
6017136,17136,RF,Quadriceps,Pre,6,O,252,68,888.057
6017204,17204,RF,Quadriceps,Pre,6,O,253,68,853.247
6017272,17272,RF,Quadriceps,Pre,6,O,254,68,821.902
6017340,17340,RF,Quadriceps,Pre,6,O,255,68,803.497
6017408,17408,RF,Quadriceps,Pre,6,O,256,68,801.581
6017476,17476,RF,Quadriceps,Pre,6,O,257,68,813.08
6017544,17544,RF,Quadriceps,Pre,6,O,258,68,836.354
6017612,17612,RF,Quadriceps,Pre,6,O,259,68,869.191
6017680,17680,RF,Quadriceps,Pre,6,O,260,68,901.477
6017748,17748,RF,Quadriceps,Pre,6,O,261,68,928.483
6017816,17816,RF,Quadriceps,Pre,6,O,262,68,947.392
6017884,17884,RF,Quadriceps,Pre,6,O,263,68,951.314
6017952,17952,RF,Quadriceps,Pre,6,O,264,68,937.849
6018020,18020,RF,Quadriceps,Pre,6,O,265,68,910.534
6018088,18088,RF,Quadriceps,Pre,6,O,266,68,870.914
