pix_id,XY,musc_id,grp_id,cond_id,subj_id,injury_id,X,Y,Value
4055692,55692,BSH,Hamstrings,Pre,9,O,234,238,1328.174
4055930,55930,BSH,Hamstrings,Pre,9,O,235,238,1328.659
4056168,56168,BSH,Hamstrings,Pre,9,O,236,238,1359.243
4056406,56406,BSH,Hamstrings,Pre,9,O,237,238,1406.411
4055209,55209,BSH,Hamstrings,Pre,9,O,231,239,1408.539
4055448,55448,BSH,Hamstrings,Pre,9,O,232,239,1341.071
4055687,55687,BSH,Hamstrings,Pre,9,O,233,239,1296.865
4055926,55926,BSH,Hamstrings,Pre,9,O,234,239,1283.219
4056165,56165,BSH,Hamstrings,Pre,9,O,235,239,1308.653
4056404,56404,BSH,Hamstrings,Pre,9,O,236,239,1374.538
4056643,56643,BSH,Hamstrings,Pre,9,O,237,239,1452.907
4056882,56882,BSH,Hamstrings,Pre,9,O,238,239,1442.061
4057121,57121,BSH,Hamstrings,Pre,9,O,239,239,1502.046
4057360,57360,BSH,Hamstrings,Pre,9,O,240,239,1552.169
4054960,54960,BSH,Hamstrings,Pre,9,O,229,240,1529.019
4055200,55200,BSH,Hamstrings,Pre,9,O,230,240,1421.959
4055440,55440,BSH,Hamstrings,Pre,9,O,231,240,1341.877
4055680,55680,BSH,Hamstrings,Pre,9,O,232,240,1283.655
4055920,55920,BSH,Hamstrings,Pre,9,O,233,240,1246.807
4056160,56160,BSH,Hamstrings,Pre,9,O,234,240,1244.626
4056400,56400,BSH,Hamstrings,Pre,9,O,235,240,1282.754
4056640,56640,BSH,Hamstrings,Pre,9,O,236,240,1367.145
4056880,56880,BSH,Hamstrings,Pre,9,O,237,240,1464.344
4057120,57120,BSH,Hamstrings,Pre,9,O,238,240,1400.366
4057360,57360,BSH,Hamstrings,Pre,9,O,239,240,1378.73
4057600,57600,BSH,Hamstrings,Pre,9,O,240,240,1379.765
4057840,57840,BSH,Hamstrings,Pre,9,O,241,240,1392.026
4054948,54948,BSH,Hamstrings,Pre,9,O,228,241,1507.932
4055189,55189,BSH,Hamstrings,Pre,9,O,229,241,1390.731
4055430,55430,BSH,Hamstrings,Pre,9,O,230,241,1309.023
4055671,55671,BSH,Hamstrings,Pre,9,O,231,241,1257.908
4055912,55912,BSH,Hamstrings,Pre,9,O,232,241,1226.164
4056153,56153,BSH,Hamstrings,Pre,9,O,233,241,1209.138
4056394,56394,BSH,Hamstrings,Pre,9,O,234,241,1216.284
4056635,56635,BSH,Hamstrings,Pre,9,O,235,241,1256.021
4056876,56876,BSH,Hamstrings,Pre,9,O,236,241,1336.917
4057117,57117,BSH,Hamstrings,Pre,9,O,237,241,1435.781
4057358,57358,BSH,Hamstrings,Pre,9,O,238,241,1414.453
4057599,57599,BSH,Hamstrings,Pre,9,O,239,241,1380.093
4057840,57840,BSH,Hamstrings,Pre,9,O,240,241,1332.42
4058081,58081,BSH,Hamstrings,Pre,9,O,241,241,1300.728
4054934,54934,BSH,Hamstrings,Pre,9,O,227,242,1473.828
4055176,55176,BSH,Hamstrings,Pre,9,O,228,242,1347.739
4055418,55418,BSH,Hamstrings,Pre,9,O,229,242,1248.154
4055660,55660,BSH,Hamstrings,Pre,9,O,230,242,1196.386
4055902,55902,BSH,Hamstrings,Pre,9,O,231,242,1178.491
4056144,56144,BSH,Hamstrings,Pre,9,O,232,242,1174.276
4056386,56386,BSH,Hamstrings,Pre,9,O,233,242,1177.238
4056628,56628,BSH,Hamstrings,Pre,9,O,234,242,1193.411
4056870,56870,BSH,Hamstrings,Pre,9,O,235,242,1232.404
4057112,57112,BSH,Hamstrings,Pre,9,O,236,242,1287.374
4057354,57354,BSH,Hamstrings,Pre,9,O,237,242,1386.148
4057596,57596,BSH,Hamstrings,Pre,9,O,238,242,1441.948
4057838,57838,BSH,Hamstrings,Pre,9,O,239,242,1398.382
4058080,58080,BSH,Hamstrings,Pre,9,O,240,242,1363.368
4058322,58322,BSH,Hamstrings,Pre,9,O,241,242,1320.696
4054918,54918,BSH,Hamstrings,Pre,9,O,226,243,1429.785
4055161,55161,BSH,Hamstrings,Pre,9,O,227,243,1337.597
4055404,55404,BSH,Hamstrings,Pre,9,O,228,243,1219.265
4055647,55647,BSH,Hamstrings,Pre,9,O,229,243,1144.21
4055890,55890,BSH,Hamstrings,Pre,9,O,230,243,1119.552
4056133,56133,BSH,Hamstrings,Pre,9,O,231,243,1125.412
4056376,56376,BSH,Hamstrings,Pre,9,O,232,243,1137.071
4056619,56619,BSH,Hamstrings,Pre,9,O,233,243,1149.097
4056862,56862,BSH,Hamstrings,Pre,9,O,234,243,1167.525
4057105,57105,BSH,Hamstrings,Pre,9,O,235,243,1205.887
4057348,57348,BSH,Hamstrings,Pre,9,O,236,243,1227.133
4057591,57591,BSH,Hamstrings,Pre,9,O,237,243,1329.074
4057834,57834,BSH,Hamstrings,Pre,9,O,238,243,1431.079
4058077,58077,BSH,Hamstrings,Pre,9,O,239,243,1400.959
4058320,58320,BSH,Hamstrings,Pre,9,O,240,243,1382.663
4058563,58563,BSH,Hamstrings,Pre,9,O,241,243,1350.694
4055144,55144,BSH,Hamstrings,Pre,9,O,226,244,1341.603
4055388,55388,BSH,Hamstrings,Pre,9,O,227,244,1236.433
4055632,55632,BSH,Hamstrings,Pre,9,O,228,244,1138.201
4055876,55876,BSH,Hamstrings,Pre,9,O,229,244,1094.146
4056120,56120,BSH,Hamstrings,Pre,9,O,230,244,1094.711
4056364,56364,BSH,Hamstrings,Pre,9,O,231,244,1112.101
4056608,56608,BSH,Hamstrings,Pre,9,O,232,244,1123.321
4056852,56852,BSH,Hamstrings,Pre,9,O,233,244,1129.466
4057096,57096,BSH,Hamstrings,Pre,9,O,234,244,1140.223
4057340,57340,BSH,Hamstrings,Pre,9,O,235,244,1175.406
4057584,57584,BSH,Hamstrings,Pre,9,O,236,244,1170.176
4057828,57828,BSH,Hamstrings,Pre,9,O,237,244,1274.491
4058072,58072,BSH,Hamstrings,Pre,9,O,238,244,1407.192
4058316,58316,BSH,Hamstrings,Pre,9,O,239,244,1426.232
4058560,58560,BSH,Hamstrings,Pre,9,O,240,244,1382.174
4058804,58804,BSH,Hamstrings,Pre,9,O,241,244,1364.438
4055370,55370,BSH,Hamstrings,Pre,9,O,226,245,1260.71
4055615,55615,BSH,Hamstrings,Pre,9,O,227,245,1175.244
4055860,55860,BSH,Hamstrings,Pre,9,O,228,245,1101.281
4056105,56105,BSH,Hamstrings,Pre,9,O,229,245,1091.209
4056350,56350,BSH,Hamstrings,Pre,9,O,230,245,1112.539
4056595,56595,BSH,Hamstrings,Pre,9,O,231,245,1133.664
4056840,56840,BSH,Hamstrings,Pre,9,O,232,245,1135.677
4057085,57085,BSH,Hamstrings,Pre,9,O,233,245,1126.546
4057330,57330,BSH,Hamstrings,Pre,9,O,234,245,1123.407
4057575,57575,BSH,Hamstrings,Pre,9,O,235,245,1147.101
